Name,GP,Pts,Pts/G
"#14 Lillis, Erin",24,408,17.0
"#34 Booher, Sara",24,256,10.7
"#10 Ware, Nikki",24,231,9.6
"#25 Strovers, Bailey",24,171,7.1
"#11 Carchidi, Eva",24,152,6.3
"#24 Pierce, Carolyn",22,127,5.8
"#22 Thomas, Skylar",24,97,4.0
"#13 Marsh, Grace",20,68,3.4
"#20 Rockwell, Aiyana",24,29,1.2
"#12 Stephens, Reese",23,28,1.2
"#45 Schwartzman, Juniper",11,7,0.6
