Name,GP,MIN,MIN/G
"#14 Lillis, Erin",24,818,34.1
"#10 Ware, Nikki",24,699,29.1
"#11 Carchidi, Eva",24,586,24.4
"#34 Booher, Sara",24,557,23.2
"#22 Thomas, Skylar",24,480,20.0
"#25 Strovers, Bailey",24,425,17.7
"#13 Marsh, Grace",20,366,18.3
"#20 Rockwell, Aiyana",24,349,14.5
"#24 Pierce, Carolyn",22,327,14.9
"#12 Stephens, Reese",23,215,9.3
"#45 Schwartzman, Juniper",11,37,3.4
"#23 Hamzavi, Meezan",7,15,2.1
"#33 Friedman, Elena",1,1,1.0
