#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",24,24.0,818,34.1,143,373,0.383,14,61,0.23,108,137,0.788,408,17.0,15,58,73,3.0,41,91,91,51,3,View Bio
34,"Booher, Sara 34 Booher, Sara",24,24.0,557,23.2,108,206,0.524,0,1,0.0,40,77,0.519,256,10.7,64,154,218,9.1,56,26,35,15,60,View Bio
10,"Ware, Nikki 10 Ware, Nikki",24,24.0,699,29.1,76,189,0.402,31,89,0.348,48,57,0.842,231,9.6,25,79,104,4.3,47,41,58,29,3,View Bio
25,"Strovers, Bailey 25 Strovers, Bailey",24,0.0,425,17.7,52,117,0.444,21,58,0.362,46,61,0.754,171,7.1,27,106,133,5.5,47,13,30,10,5,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",24,22.0,586,24.4,52,135,0.385,41,112,0.366,7,10,0.7,152,6.3,9,85,94,3.9,25,24,33,10,2,View Bio
24,"Pierce, Carolyn 24 Pierce, Carolyn",22,0.0,327,14.9,40,113,0.354,31,88,0.352,16,24,0.667,127,5.8,5,21,26,1.2,25,10,19,9,2,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",24,22.0,480,20.0,34,122,0.279,13,57,0.228,16,30,0.533,97,4.0,11,57,68,2.8,24,17,20,10,1,View Bio
13,"Marsh, Grace 13 Marsh, Grace",20,3.0,366,18.3,22,61,0.361,10,27,0.37,14,24,0.583,68,3.4,14,49,63,3.2,15,19,17,11,0,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",24,1.0,349,14.5,8,41,0.195,4,22,0.182,9,16,0.563,29,1.2,7,44,51,2.1,39,25,20,4,2,View Bio
12,"Stephens, Reese 12 Stephens, Reese",23,0.0,215,9.3,8,30,0.267,4,19,0.211,8,12,0.667,28,1.2,5,20,25,1.1,23,18,17,6,2,View Bio
45,"Schwartzman, Juniper 45 Schwartzman, Juniper",11,0.0,37,3.4,0,2,0.0,0,0,0.0,7,14,0.5,7,0.6,5,11,16,1.5,7,0,3,3,0,View Bio
33,"Friedman, Elena 33 Friedman, Elena",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
23,"Hamzavi, Meezan 23 Hamzavi, Meezan",7,0.0,15,2.1,0,3,0.0,0,3,0.0,0,0,0.0,0,0.0,0,1,1,0.1,1,0,1,1,0,View Bio
TM,Team  TM Team,24,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,30,59,89,3.7,0,0,25,0,0,
,Total,24,,4875,203.1,543,1392,0.39,169,537,0.315,319,462,0.69,1574,65.58,217,744,961,40.0,350,284,369,159,80,
,Opponents,24,,4875,203.1,558,1595,0.35,143,559,0.256,228,360,0.633,1487,61.96,334,687,1021,42.5,432,237,345,205,66,
