Statistic,High,Opponent
POINTS,97,Knox (01/23/24)
FIELD GOALS MADE,34,Knox (01/23/24)
FIELD GOAL ATTEMPTS,73,Knox (01/23/24)
3 PT FIELD GOALS MADE,11,Lake Forest (11/25/23); Cornell College (12/06/23); Knox (01/23/24); Illinois Col. (02/07/24)
3 PT FG ATTEMPTS,34,Lake Forest (11/25/23)
FREE THROWS MADE,28,Lake Forest (02/03/24)
FREE THROW ATTEMPTS,41,Lake Forest (02/03/24)
REBOUNDS,59,Keene St. (12/30/23)
ASSISTS,18,Lake Forest (11/25/23)
STEALS,11,Illinois Col. (02/07/24)
BLOCKED SHOTS,7,Ripon (01/20/24)
TURNOVERS,24,Keene St. (12/30/23); Knox (11/28/23); Lake Forest (02/03/24)
FOULS,23,Beloit (02/14/24)
