Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Crown (MN),11/11/23,77-45,32,31-55/18-62,.564/.290,4-11/8-36,.364/.222,11-14/1-6,.786-.167,40/27 13,17/10,12/12,2/0,8/8,8/14
Central (IA),11/15/23,57-62,-5,23-66/21-63,.348/.333,5-26/4-15,.192/.267,6-11/16-22,.545-.727,39/50 -11,9/8,10/12,2/4,4/4,18/14
Coe,11/17/23,63-73,-10,18-61/27-66,.295/.409,4-19/3-16,.211/.188,23-31/16-25,.742-.640,38/52 -14,6/9,10/17,6/4,8/2,19/24
Waldorf,11/19/23,74-70,4,24-64/27-67,.375/.403,5-26/7-18,.192/.389,21-28/9-16,.750-.563,43/44 -1,10/10,11/14,2/3,8/7,16/21
Buena Vista,11/21/23,79-68,11,26-58/24-71,.448/.338,7-20/6-25,.350/.240,20-24/14-24,.833-.583,34/39 -5,14/11,15/16,3/3,7/9,21/19
Lake Forest,11/25/23,64-40,24,24-67/13-53,.358/.245,11-34/3-16,.324/.188,5-11/11-14,.455-.786,39/42 -3,18/2,10/22,1/1,7/5,16/19
Knox,11/28/23,71-55,16,23-55/22-80,.418/.275,7-21/1-17,.333/.059,18-29/10-17,.621-.588,51/50 1,16/16,24/15,4/1,4/14,16/23
Lawrence,12/02/23,58-62,-4,22-55/25-69,.400/.362,7-18/7-26,.389/.269,7-8/5-9,.875-.556,39/42 -3,14/9,19/11,4/4,5/10,9/13
Cornell College,12/06/23,72-65,7,26-53/25-71,.491/.352,11-24/9-35,.458/.257,9-14/6-7,.643-.857,39/37 2,16/9,16/8,4/3,4/12,7/19
Saint Benedict,12/10/23,70-63,7,26-65/22-73,.400/.301,9-19/12-39,.474/.308,9-12/7-12,.750-.583,49/47 2,12/14,16/15,4/4,9/7,17/11
Wis.-Stevens Point,12/29/23,48-67,-19,18-53/29-78,.340/.372,7-20/6-24,.350/.250,5-9/3-8,.556-.375,28/62 -34,9/14,10/10,4/6,4/7,10/12
Keene St.,12/30/23,46-33,13,17-51/12-68,.333/.176,7-26/5-31,.269/.161,5-10/4-7,.500-.571,59/35 24,12/4,24/10,6/1,5/15,12/13
Ripon,01/04/24,46-50,-4,16-51/22-57,.314/.386,7-21/1-10,.333/.100,7-9/5-8,.778-.625,28/36 -8,10/8,18/17,4/2,9/14,11/15
Lawrence,01/06/24,59-62,-3,18-60/25-67,.300/.373,7-28/5-24,.250/.208,16-25/7-9,.640-.778,41/48 -7,11/13,13/13,4/3,10/9,11/20
Beloit,01/10/24,65-57,8,25-65/19-57,.385/.333,7-23/5-18,.304/.278,8-12/14-27,.667-.519,49/39 10,16/6,13/13,6/3,7/9,19/13
Monmouth (IL),01/17/24,82-74,8,29-64/28-64,.453/.438,8-21/13-33,.381/.394,16-25/5-8,.640-.625,38/32 6,11/12,14/18,2/5,9/6,8/17
Ripon,01/20/24,57-74,-17,20-52/26-60,.385/.433,9-23/6-13,.391/.462,8-12/16-21,.667-.762,29/42 -13,10/15,18/12,7/2,7/9,19/17
Knox,01/23/24,97-91,6,34-73/35-87,.466/.402,11-30/8-26,.367/.308,18-25/13-21,.720-.619,53/43 10,16/13,19/13,2/3,5/12,17/20
Illinois Col.,01/27/24,55-61,-6,15-55/20-71,.273/.282,6-23/6-25,.261/.240,19-24/15-18,.792-.833,39/57 -18,9/11,16/13,1/3,4/8,15/22
Cornell College,01/31/24,59-44,15,23-49/15-45,.469/.333,3-19/3-15,.158/.200,10-25/11-19,.400-.579,37/30 7,8/7,13/16,1/1,6/8,18/25
Lake Forest,02/03/24,62-83,-21,15-49/31-65,.306/.477,4-17/7-21,.235/.333,28-41/14-20,.683-.700,36/38 -2,5/15,24/21,0/2,7/7,19/30
Illinois Col.,02/07/24,78-63,15,23-57/24-72,.404/.333,11-27/5-23,.407/.217,21-27/10-13,.778-.769,33/52 -19,16/8,15/23,6/4,11/7,15/21
Beloit,02/14/24,52-54,-2,17-53/19-53,.321/.358,5-19/2-17,.263/.118,13-16/14-25,.813-.560,37/38 -1,6/6,19/15,0/2,7/10,23/15
Monmouth (IL),02/17/24,83-71,12,30-61/29-76,.492/.382,7-22/11-36,.318/.306,16-20/2-4,.800-.500,43/39 4,13/7,10/9,5/2,4/6,6/15
