#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
14.0,"Lillis, Erin 14 Lillis, Erin",24,34.1,0.383,0.23,0.788,0.6,2.4,3.0,3.8,2.1,0.1,17.0
34.0,"Booher, Sara 34 Booher, Sara",24,23.2,0.524,0.0,0.519,2.7,6.4,9.1,1.1,0.6,2.5,10.7
10.0,"Ware, Nikki 10 Ware, Nikki",24,29.1,0.402,0.348,0.842,1.0,3.3,4.3,1.7,1.2,0.1,9.6
25.0,"Strovers, Bailey 25 Strovers, Bailey",24,17.7,0.444,0.362,0.754,1.1,4.4,5.5,0.5,0.4,0.2,7.1
11.0,"Carchidi, Eva 11 Carchidi, Eva",24,24.4,0.385,0.366,0.7,0.4,3.5,3.9,1.0,0.4,0.1,6.3
24.0,"Pierce, Carolyn 24 Pierce, Carolyn",22,14.9,0.354,0.352,0.667,0.2,1.0,1.2,0.5,0.4,0.1,5.8
22.0,"Thomas, Skylar 22 Thomas, Skylar",24,20.0,0.279,0.228,0.533,0.5,2.4,2.8,0.7,0.4,0.0,4.0
13.0,"Marsh, Grace 13 Marsh, Grace",20,18.3,0.361,0.37,0.583,0.7,2.5,3.2,1.0,0.6,0.0,3.4
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",24,14.5,0.195,0.182,0.563,0.3,1.8,2.1,1.0,0.2,0.1,1.2
12.0,"Stephens, Reese 12 Stephens, Reese",23,9.3,0.267,0.211,0.667,0.2,0.9,1.1,0.8,0.3,0.1,1.2
33.0,"Friedman, Elena 33 Friedman, Elena",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,"Hamzavi, Meezan 23 Hamzavi, Meezan",7,2.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
45.0,"Schwartzman, Juniper 45 Schwartzman, Juniper",11,3.4,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.3,0.0,0.6
,Total,24,203.1,0.39,0.315,0.69,9.0,31.0,40.0,11.8,6.6,3.3,65.58
,Opponents,24,203.1,0.35,0.256,0.633,13.9,28.6,42.5,9.9,8.5,2.8,61.96
