Name,GP,AST,TO,AST/TO Ratio
"#14 Lillis, Erin",24,91,91,1.0
"#13 Marsh, Grace",20,19,17,1.12
"#20 Rockwell, Aiyana",24,25,20,1.25
"#12 Stephens, Reese",23,18,17,1.06
