Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#14 Lillis, Erin",24,143,373,0.383,6.0,15.5
"#34 Booher, Sara",24,108,206,0.524,4.5,8.6
"#10 Ware, Nikki",24,76,189,0.402,3.2,7.9
"#11 Carchidi, Eva",24,52,135,0.385,2.2,5.6
"#25 Strovers, Bailey",24,52,117,0.444,2.2,4.9
"#24 Pierce, Carolyn",22,40,113,0.354,1.8,5.1
"#22 Thomas, Skylar",24,34,122,0.279,1.4,5.1
"#13 Marsh, Grace",20,22,61,0.361,1.1,3.1
"#20 Rockwell, Aiyana",24,8,41,0.195,0.3,1.7
"#12 Stephens, Reese",23,8,30,0.267,0.3,1.3
"#23 Hamzavi, Meezan",7,0,3,0.0,0.0,0.4
"#45 Schwartzman, Juniper",11,0,2,0.0,0.0,0.2
