Name,GP,TO,TO/G
"#14 Lillis, Erin",24,91,3.8
"#10 Ware, Nikki",24,58,2.4
"#34 Booher, Sara",24,35,1.5
"#11 Carchidi, Eva",24,33,1.4
"#25 Strovers, Bailey",24,30,1.3
#TM Team,24,25,1.0
"#20 Rockwell, Aiyana",24,20,0.8
"#22 Thomas, Skylar",24,20,0.8
"#24 Pierce, Carolyn",22,19,0.9
"#13 Marsh, Grace",20,17,0.9
"#12 Stephens, Reese",23,17,0.7
"#45 Schwartzman, Juniper",11,3,0.3
"#23 Hamzavi, Meezan",7,1,0.1
