Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#11 Carchidi, Eva",24,41,112,0.366,1.7,4.7
"#24 Pierce, Carolyn",22,31,88,0.352,1.4,4.0
"#10 Ware, Nikki",24,31,89,0.348,1.3,3.7
"#25 Strovers, Bailey",24,21,58,0.362,0.9,2.4
"#14 Lillis, Erin",24,14,61,0.23,0.6,2.5
"#22 Thomas, Skylar",24,13,57,0.228,0.5,2.4
"#13 Marsh, Grace",20,10,27,0.37,0.5,1.4
"#20 Rockwell, Aiyana",24,4,22,0.182,0.2,0.9
"#12 Stephens, Reese",23,4,19,0.211,0.2,0.8
"#34 Booher, Sara",24,0,1,0.0,0.0,0.0
"#23 Hamzavi, Meezan",7,0,3,0.0,0.0,0.4
