Statistic,Grinnell,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,1574,1487
Points Per Game PPG,65.6,62.0
Scoring Margin Margin,3.6,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,543-1392,558-1595
FG: Percentage FG%,.390,.350
FG: Per Game FGM/G,22.6,23.3
3PT: Made-Attempted 3PT-3PA,169-537,143-559
3PT: Percentage 3PT%,.315,.256
3PT: Per Game 3PT/G,7.0,6.0
FT: Made-Attempted FTM-FTA,319-462,228-360
FT: Percentage FT%,.690,.633
FT: Per Game FT/G,13.3,9.5
Rebounding,Rebounding,Rebounding
Total TOT,961,1021
Per Game RPG,40.0,42.5
Margin,-2.5,--
Assists,Assists,Assists
Total TOT,284,237
Per Game APG,11.8,9.9
Turnovers,Turnovers,Turnovers
Total TOT,369,345
Per Game TO/G,15.4,14.4
Margin,-1.0,--
Assist/Turnover Ratio A/TO,0.8,0.7
Points Off Turnovers PTS OFF TO,13.3,12.7
Steals,Steals,Steals
Total TOT,159,205
Per Game STL/G,6.6,8.5
Blocks,Blocks,Blocks
Total TOT,80,66
Per Game BLK/G,3.3,2.8
Attendance,Attendance,Attendance
Total TOT,2413,1917
Per Game AVG,12-201,10-192
