Name,GP,AST,AST/G
"#14 Lillis, Erin",24,91,3.8
"#10 Ware, Nikki",24,41,1.7
"#34 Booher, Sara",24,26,1.1
"#20 Rockwell, Aiyana",24,25,1.0
"#11 Carchidi, Eva",24,24,1.0
"#13 Marsh, Grace",20,19,1.0
"#12 Stephens, Reese",23,18,0.8
"#22 Thomas, Skylar",24,17,0.7
"#25 Strovers, Bailey",24,13,0.5
"#24 Pierce, Carolyn",22,10,0.5
