#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",17,31.6,0.41,0.194,0.717,0.9,3.5,4.5,3.7,1.1,0.1,15.3
23.0,"Boldt, Anne 23 Boldt, Anne",23,27.2,0.31,0.268,0.848,1.1,2.3,3.4,0.8,1.5,0.3,13.9
5.0,"Coleman, Cristal 05 Coleman, Cristal",21,17.7,0.275,0.243,0.586,0.3,2.4,2.7,0.8,0.7,0.5,6.5
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,24.1,0.359,0.25,0.696,0.4,1.4,1.8,1.4,0.5,0.0,6.8
24.0,"Plemmons, Alex 24 Plemmons, Alex",23,16.7,0.613,0.0,0.63,1.3,2.0,3.3,0.2,0.3,0.6,4.0
15.0,"Jaeger, Abby 15 Jaeger, Abby",23,22.1,0.288,0.417,0.674,0.6,1.9,2.5,1.4,1.0,0.0,3.5
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,18.1,0.303,0.186,0.591,1.1,1.5,2.7,0.7,0.4,0.0,3.3
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",21,14.4,0.462,0.0,0.55,1.5,3.0,4.5,0.1,0.3,0.0,3.4
22.0,"Greenberg, Leah 22 Greenberg, Leah",22,6.2,0.327,0.341,0.8,0.2,0.1,0.3,0.2,0.1,0.0,2.3
12.0,"Lopez, Haley 12 Lopez, Haley",20,9.1,0.238,0.286,0.929,0.3,1.0,1.3,0.4,0.3,0.1,2.1
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",20,8.5,0.383,0.346,0.3,0.3,0.9,1.1,0.5,0.2,0.1,2.4
14.0,"Keller, Ariel 14 Keller, Ariel",23,10.8,0.435,0.0,0.333,0.7,2.0,2.7,0.4,0.7,0.2,1.2
32.0,"Matosky, Jordan 32 Matosky, Jordan",22,7.8,0.317,0.0,0.455,0.7,0.7,1.5,0.3,0.5,0.0,1.6
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",7,2.3,0.0,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.1
,Total,23,201.1,0.352,0.259,0.691,11.0,24.2,35.1,9.8,7.1,1.9,60.7
,Opponents,23,201.1,0.434,0.257,0.704,14.2,29.8,44.0,14.0,7.9,2.6,74.3
