Name,GP,Pts,Pts/G
"#23 Boldt, Anne",23,320,13.9
"#13 Hirsh, Alissa",17,260,15.3
"#10 Gatton, Sophia",23,157,6.8
"#05 Coleman, Cristal",21,136,6.5
"#24 Plemmons, Alex",23,93,4.0
"#15 Jaeger, Abby",23,80,3.5
"#20 Stariha, Lydia",23,75,3.3
"#11 Neckopulos, Alex",21,71,3.4
"#22 Greenberg, Leah",22,51,2.3
"#21 Norton, Kaitlyn",20,48,2.4
"#12 Lopez, Haley",20,41,2.1
"#32 Matosky, Jordan",22,36,1.6
"#14 Keller, Ariel",23,27,1.2
"#44 Schellinger, Jordan",7,1,0.1
