Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central College,11/15/13,71-80,-9,22-70/25-52,.314/.481,6-24/2-10,.250/.200,21-29/28-42,.724-.667,45/43 2,7/9,13/13,2/5,7/6,29/22
Wartburg College,11/20/13,53-81,-28,16-61/31-63,.262/.492,4-28/4-15,.143/.267,17-21/15-22,.810-.682,38/45 -7,7/17,21/16,1/3,5/10,19/20
Illinois College,11/23/13,58-72,-14,22-74/28-56,.297/.500,3-27/4-9,.111/.444,11-16/12-23,.688-.522,37/56 -19,6/10,10/23,1/1,5/3,24/14
Beloit College,11/30/13,67-95,-28,20-69/31-59,.290/.525,8-28/4-10,.286/.400,19-34/29-35,.559-.829,38/53 -15,10/14,20/23,1/3,15/7,29/23
Monmouth College,12/04/13,49-61,-12,17-55/18-50,.309/.360,7-31/2-13,.226/.154,8-13/23-28,.615-.821,31/46 -15,12/6,16/17,1/6,10/9,21/16
St. Norbert College,12/07/13,57-80,-23,18-60/31-58,.300/.534,11-34/3-14,.324/.214,10-16/15-31,.625-.484,31/54 -23,11/22,12/14,1/1,9/8,25/17
Benedictine College,12/09/13,57-71,-14,18-53/24-57,.340/.421,8-24/6-20,.333/.300,13-17/17-24,.765-.708,37/39 -2,11/15,23/16,2/1,4/12,17/17
Caltech,12/30/13,79-56,23,28-61/22-66,.459/.333,8-24/4-19,.333/.211,15-22/8-10,.682-.800,46/36 10,15/14,19/20,4/1,13/11,14/17
Claremont-Mudd-Scripps,12/31/13,58-72,-14,19-49/21-48,.388/.438,5-22/4-13,.227/.308,15-19/26-32,.789-.813,21/40 -19,9/11,17/20,0/2,1/10,23/21
Ripon College,01/04/14,65-79,-14,26-57/30-58,.456/.517,6-24/4-18,.250/.222,7-10/15-19,.700-.789,26/36 -10,9/16,12/11,0/2,9/6,18/11
Knox College,01/08/14,99-104,-5,37-66/29-76,.561/.382,2-4/13-37,.500/.351,23-33/33-43,.697-.767,46/40 6,18/15,31/22,4/1,11/10,31/25
Carroll University,01/11/14,72-73,-1,23-54/32-61,.426/.525,7-17/0-6,.412/.000,19-20/9-17,.950-.529,31/36 -5,8/19,17/13,5/3,3/4,19/18
Cornell College,01/14/14,55-79,-24,20-56/29-67,.357/.433,9-26/7-24,.346/.292,6-17/14-24,.353-.583,31/55 -24,11/12,6/7,1/5,3/3,18/20
Lawrence University,01/18/14,62-48,14,19-57/16-67,.333/.239,4-20/1-14,.200/.071,20-27/15-21,.741-.714,39/54 -15,8/8,12/22,1/1,9/6,18/23
Illinois College,01/22/14,52-61,-9,17-57/21-60,.298/.350,3-21/1-19,.143/.053,15-18/18-25,.833-.720,39/47 -8,7/6,15/15,1/3,9/6,19/20
Ripon College,01/25/14,52-66,-14,17-46/27-55,.370/.491,7-15/2-7,.467/.286,11-13/10-15,.846-.667,22/38 -16,12/11,21/20,4/4,5/8,16/15
Monmouth College,01/28/14,43-85,-42,13-54/31-72,.241/.431,5-23/5-17,.217/.294,12-27/18-25,.444-.720,37/55 -18,9/22,22/16,3/4,9/12,19/24
Lake Forest College,02/01/14,44-73,-29,16-63/31-67,.254/.463,5-24/4-17,.208/.235,7-12/7-12,.583-.583,43/44 -1,6/19,18/10,3/9,6/13,12/12
Knox College,02/05/14,89-91,-2,32-61/29-73,.525/.397,0-1/9-28,.000/.321,25-33/24-31,.758-.774,42/31 11,14/10,31/20,1/0,9/13,29/24
Beloit College,02/08/14,51-77,-26,17-56/25-54,.304/.463,8-22/3-10,.364/.300,9-16/24-27,.563-.889,32/42 -10,12/18,19/18,3/0,10/4,22/18
St. Norbert College,02/15/14,51-64,-13,18-46/24-55,.391/.436,3-20/7-19,.150/.368,12-20/9-15,.600-.600,30/36 -6,7/21,16/11,1/0,2/3,12/19
Cornell College,02/19/14,46-91,-45,11-44/32-66,.250/.485,6-19/5-25,.316/.200,18-21/22-33,.857-.667,25/51 -26,6/18,25/15,2/4,5/14,21/19
Lawrence University,02/22/14,66-50,16,19-53/17-52,.358/.327,6-28/1-5,.214/.200,22-31/15-23,.710-.652,41/36 5,10/8,10/13,2/1,5/3,20/25
