Name,GP,AST,AST/G
"#13 Hirsh, Alissa",17,63,3.7
"#10 Gatton, Sophia",23,33,1.4
"#15 Jaeger, Abby",23,33,1.4
"#23 Boldt, Anne",23,18,0.8
"#20 Stariha, Lydia",23,17,0.7
"#05 Coleman, Cristal",21,16,0.8
"#21 Norton, Kaitlyn",20,10,0.5
"#14 Keller, Ariel",23,9,0.4
"#12 Lopez, Haley",20,8,0.4
"#32 Matosky, Jordan",22,6,0.3
"#22 Greenberg, Leah",22,5,0.2
"#24 Plemmons, Alex",23,5,0.2
"#11 Neckopulos, Alex",21,2,0.1
