Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#23 Boldt, Anne",23,38,142,0.268,1.7,6.2
"#05 Coleman, Cristal",21,27,111,0.243,1.3,5.3
"#10 Gatton, Sophia",23,15,60,0.25,0.7,2.6
"#22 Greenberg, Leah",22,15,44,0.341,0.7,2.0
"#21 Norton, Kaitlyn",20,9,26,0.346,0.5,1.3
"#12 Lopez, Haley",20,8,28,0.286,0.4,1.4
"#20 Stariha, Lydia",23,8,43,0.186,0.3,1.9
"#13 Hirsh, Alissa",17,6,31,0.194,0.4,1.8
"#15 Jaeger, Abby",23,5,12,0.417,0.2,0.5
"#14 Keller, Ariel",23,0,4,0.0,0.0,0.2
"#32 Matosky, Jordan",22,0,4,0.0,0.0,0.2
"#11 Neckopulos, Alex",21,0,1,0.0,0.0,0.0
