Name,GP,PF,PF/G
"#23 Boldt, Anne",23,63,2.7
"#24 Plemmons, Alex",23,49,2.1
"#20 Stariha, Lydia",23,49,2.1
"#10 Gatton, Sophia",23,48,2.1
"#14 Keller, Ariel",23,48,2.1
"#05 Coleman, Cristal",21,45,2.1
"#15 Jaeger, Abby",23,37,1.6
"#11 Neckopulos, Alex",21,35,1.7
"#13 Hirsh, Alissa",17,28,1.6
"#21 Norton, Kaitlyn",20,24,1.2
"#12 Lopez, Haley",20,19,1.0
"#22 Greenberg, Leah",22,13,0.6
"#32 Matosky, Jordan",22,13,0.6
"#44 Schellinger, Jordan",7,4,0.6
