Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Central College,11/15/13,80-71,W (OT),25-52,0.481,2-10,0.2,28-42,0.667,12,31,43,43.0,22,9,13,5,6,80,80.0
Wartburg College,11/20/13,81-53,W,31-63,0.492,4-15,0.267,15-22,0.682,11,34,45,44.0,20,17,16,3,10,81,80.5
Illinois College,11/23/13,72-58,W,28-56,0.5,4-9,0.444,12-23,0.522,15,41,56,48.0,14,10,23,1,3,72,77.7
Beloit College,11/30/13,95-67,W,31-59,0.525,4-10,0.4,29-35,0.829,11,42,53,49.3,23,14,23,3,7,95,82.0
Monmouth College,12/04/13,61-49,W,18-50,0.36,2-13,0.154,23-28,0.821,15,31,46,48.6,16,6,17,6,9,61,77.8
St. Norbert College,12/07/13,80-57,W,31-58,0.534,3-14,0.214,15-31,0.484,15,39,54,49.5,17,22,14,1,8,80,78.2
Benedictine College,12/09/13,71-57,W,24-57,0.421,6-20,0.3,17-24,0.708,12,27,39,48.0,17,15,16,1,12,71,77.1
Caltech,12/30/13,56-79,L,22-66,0.333,4-19,0.211,8-10,0.8,13,23,36,46.5,17,14,20,1,11,56,74.5
Claremont-Mudd-Scripps,12/31/13,72-58,W,21-48,0.438,4-13,0.308,26-32,0.813,15,25,40,45.8,21,11,20,2,10,72,74.2
Ripon College,01/04/14,79-65,W,30-58,0.517,4-18,0.222,15-19,0.789,11,25,36,44.8,11,16,11,2,6,79,74.7
Knox College,01/08/14,104-99,W,29-76,0.382,13-37,0.351,33-43,0.767,14,26,40,44.4,25,15,22,1,10,104,77.4
Carroll University,01/11/14,73-72,W,32-61,0.525,0-6,0.0,9-17,0.529,15,21,36,43.7,18,19,13,3,4,73,77.0
Cornell College,01/14/14,79-55,W,29-67,0.433,7-24,0.292,14-24,0.583,19,36,55,44.5,20,12,7,5,3,79,77.2
Lawrence University,01/18/14,48-62,L,16-67,0.239,1-14,0.071,15-21,0.714,24,30,54,45.2,23,8,22,1,6,48,75.1
Illinois College,01/22/14,61-52,W,21-60,0.35,1-19,0.053,18-25,0.72,21,26,47,45.3,20,6,15,3,6,61,74.1
Ripon College,01/25/14,66-52,W,27-55,0.491,2-7,0.286,10-15,0.667,14,24,38,44.9,15,11,20,4,8,66,73.6
Monmouth College,01/28/14,85-43,W,31-72,0.431,5-17,0.294,18-25,0.72,18,37,55,45.5,24,22,16,4,12,85,74.3
Lake Forest College,02/01/14,73-44,W,31-67,0.463,4-17,0.235,7-12,0.583,12,32,44,45.4,12,19,10,9,13,73,74.2
Knox College,02/05/14,91-89,W,29-73,0.397,9-28,0.321,24-31,0.774,9,22,31,44.6,24,10,20,0,13,91,75.1
Beloit College,02/08/14,77-51,W,25-54,0.463,3-10,0.3,24-27,0.889,9,33,42,44.5,18,18,18,0,4,77,75.2
St. Norbert College,02/15/14,64-51,W,24-55,0.436,7-19,0.368,9-15,0.6,14,22,36,44.1,19,21,11,0,3,64,74.7
Cornell College,02/19/14,91-46,W,32-66,0.485,5-25,0.2,22-33,0.667,19,32,51,44.4,19,18,15,4,14,91,75.4
Lawrence University,02/22/14,50-66,L,17-52,0.327,1-5,0.2,15-23,0.652,9,27,36,44.0,25,8,13,1,3,50,74.3
Grinnell College,,-,,465-1322,0.352,131-506,0.259,335-485,0.691,252,556,808,35.1,475,225,406,44,164,1396,60.7
Opponents,,-,,604-1392,0.434,95-369,0.257,406-577,0.704,327,686,1013,44.0,440,321,375,60,181,1709,74.3
