Name,GP,BLK,BLK/G
"#24 Plemmons, Alex",23,14,0.6
"#05 Coleman, Cristal",21,11,0.5
"#23 Boldt, Anne",23,7,0.3
"#14 Keller, Ariel",23,4,0.2
"#12 Lopez, Haley",20,2,0.1
"#21 Norton, Kaitlyn",20,2,0.1
"#10 Gatton, Sophia",23,1,0.0
"#22 Greenberg, Leah",22,1,0.0
"#13 Hirsh, Alissa",17,1,0.1
"#11 Neckopulos, Alex",21,1,0.0
