Statistic,High,Player,Opponent
POINTS,32,Alissa Hirsh,Carroll University (01/11/14)
FIELD GOALS MADE,12,Alissa Hirsh,Carroll University (01/11/14)
FIELD GOAL ATTEMPTS,24,Alissa Hirsh,Carroll University (01/11/14)
3 PT FIELD GOALS MADE,4,Cristal Coleman; Anne Boldt,St. Norbert College (12/07/13); Beloit College (02/08/14); Cornell College (01/14/14)
3 PT FG ATTEMPTS,12,Cristal Coleman,St. Norbert College (12/07/13)
FREE THROWS MADE,12,Anne Boldt,Knox College (02/05/14)
FREE THROW ATTEMPTS,14,Anne Boldt,Knox College (02/05/14)
REBOUNDS,10,TEAM; Alex Plemmons; Ariel Keller,Central College (11/15/13); Knox College (01/08/14); Caltech (12/30/13)
ASSISTS,8,Alissa Hirsh,Cornell College (01/14/14)
STEALS,4,Sophia Gatton,Beloit College (02/08/14)
BLOCKED SHOTS,3,Anne Boldt; Cristal Coleman,Carroll University (01/11/14); Caltech (12/30/13)
TURNOVERS,8,Sophia Gatton,Monmouth College (01/28/14)
FOULS,5,Alex Neckopulos; Cristal Coleman; Anne Boldt; Ariel Keller; Alex Plemmons,Central College (11/15/13); Beloit College (02/08/14); Illinois College (11/23/13); Beloit College (11/30/13); Claremont-Mudd-Scripps (12/31/13); Knox College (02/05/14)
