Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#13 Hirsh, Alissa",17,94,229,0.41,5.5,13.5
"#23 Boldt, Anne",23,85,274,0.31,3.7,11.9
"#10 Gatton, Sophia",23,55,153,0.359,2.4,6.7
"#05 Coleman, Cristal",21,46,167,0.275,2.2,8.0
"#24 Plemmons, Alex",23,38,62,0.613,1.7,2.7
"#11 Neckopulos, Alex",21,30,65,0.462,1.4,3.1
"#20 Stariha, Lydia",23,27,89,0.303,1.2,3.9
"#15 Jaeger, Abby",23,23,80,0.288,1.0,3.5
"#21 Norton, Kaitlyn",20,18,47,0.383,0.9,2.4
"#22 Greenberg, Leah",22,16,49,0.327,0.7,2.2
"#32 Matosky, Jordan",22,13,41,0.317,0.6,1.9
"#14 Keller, Ariel",23,10,23,0.435,0.4,1.0
"#12 Lopez, Haley",20,10,42,0.238,0.5,2.1
"#44 Schellinger, Jordan",7,0,1,0.0,0.0,0.1
