Name,GP,TO,TO/G
"#23 Boldt, Anne",23,63,2.7
"#10 Gatton, Sophia",23,56,2.4
"#13 Hirsh, Alissa",17,45,2.6
"#15 Jaeger, Abby",23,43,1.9
"#05 Coleman, Cristal",21,42,2.0
"#20 Stariha, Lydia",23,33,1.4
"#21 Norton, Kaitlyn",20,24,1.2
"#32 Matosky, Jordan",22,21,1.0
"#11 Neckopulos, Alex",21,17,0.8
"#24 Plemmons, Alex",23,17,0.7
"#14 Keller, Ariel",23,15,0.7
"#22 Greenberg, Leah",22,10,0.5
"#12 Lopez, Haley",20,10,0.5
#TM Team,23,10,0.4
