#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",17,17.0,537,94,229,0.41,6,31,0.194,66,92,0.717,260,15.3
23.0,"Boldt, Anne 23 Boldt, Anne",23,23.0,626,85,274,0.31,38,142,0.268,112,132,0.848,320,13.9
5.0,"Coleman, Cristal 05 Coleman, Cristal",21,16.0,371,46,167,0.275,27,111,0.243,17,29,0.586,136,6.5
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,10.0,554,55,153,0.359,15,60,0.25,32,46,0.696,157,6.8
24.0,"Plemmons, Alex 24 Plemmons, Alex",23,21.0,385,38,62,0.613,0,0,0.0,17,27,0.63,93,4.0
15.0,"Jaeger, Abby 15 Jaeger, Abby",23,19.0,508,23,80,0.288,5,12,0.417,29,43,0.674,80,3.5
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,7.0,417,27,89,0.303,8,43,0.186,13,22,0.591,75,3.3
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",21,2.0,302,30,65,0.462,0,1,0.0,11,20,0.55,71,3.4
22.0,"Greenberg, Leah 22 Greenberg, Leah",22,0.0,136,16,49,0.327,15,44,0.341,4,5,0.8,51,2.3
12.0,"Lopez, Haley 12 Lopez, Haley",20,0.0,182,10,42,0.238,8,28,0.286,13,14,0.929,41,2.1
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",20,0.0,170,18,47,0.383,9,26,0.346,3,10,0.3,48,2.4
14.0,"Keller, Ariel 14 Keller, Ariel",23,0.0,249,10,23,0.435,0,4,0.0,7,21,0.333,27,1.2
32.0,"Matosky, Jordan 32 Matosky, Jordan",22,0.0,172,13,41,0.317,0,4,0.0,10,22,0.455,36,1.6
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",7,0.0,16,0,1,0.0,0,0,0.0,1,2,0.5,1,0.1
,Total,23,,4625,465,1322,0.352,131,506,0.259,335,485,0.691,1396,60.7
,Opponents,23,,4625,604,1392,0.434,95,369,0.257,406,577,0.704,1709,74.3
