#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
13,"Hirsh, Alissa 13 Hirsh, Alissa",17,17.0,537,31.6,94,229,0.41,6,31,0.194,66,92,0.717,260,15.3,16,60,76,4.5,28,63,45,18,1,View Bio
23,"Boldt, Anne 23 Boldt, Anne",23,23.0,626,27.2,85,274,0.31,38,142,0.268,112,132,0.848,320,13.9,26,53,79,3.4,63,18,63,35,7,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",23,10.0,554,24.1,55,153,0.359,15,60,0.25,32,46,0.696,157,6.8,10,32,42,1.8,48,33,56,12,1,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",21,16.0,371,17.7,46,167,0.275,27,111,0.243,17,29,0.586,136,6.5,6,51,57,2.7,45,16,42,15,11,View Bio
24,"Plemmons, Alex 24 Plemmons, Alex",23,21.0,385,16.7,38,62,0.613,0,0,0.0,17,27,0.63,93,4.0,31,46,77,3.3,49,5,17,8,14,View Bio
15,"Jaeger, Abby 15 Jaeger, Abby",23,19.0,508,22.1,23,80,0.288,5,12,0.417,29,43,0.674,80,3.5,13,44,57,2.5,37,33,43,23,0,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",21,2.0,302,14.4,30,65,0.462,0,1,0.0,11,20,0.55,71,3.4,32,62,94,4.5,35,2,17,6,1,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",23,7.0,417,18.1,27,89,0.303,8,43,0.186,13,22,0.591,75,3.3,26,35,61,2.7,49,17,33,9,0,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",20,0.0,170,8.5,18,47,0.383,9,26,0.346,3,10,0.3,48,2.4,5,17,22,1.1,24,10,24,4,2,View Bio
22,"Greenberg, Leah 22 Greenberg, Leah",22,0.0,136,6.2,16,49,0.327,15,44,0.341,4,5,0.8,51,2.3,4,3,7,0.3,13,5,10,2,1,View Bio
12,"Lopez, Haley 12 Lopez, Haley",20,0.0,182,9.1,10,42,0.238,8,28,0.286,13,14,0.929,41,2.1,6,20,26,1.3,19,8,10,5,2,View Bio
32,"Matosky, Jordan 32 Matosky, Jordan",22,0.0,172,7.8,13,41,0.317,0,4,0.0,10,22,0.455,36,1.6,16,16,32,1.5,13,6,21,12,0,View Bio
14,"Keller, Ariel 14 Keller, Ariel",23,0.0,249,10.8,10,23,0.435,0,4,0.0,7,21,0.333,27,1.2,16,45,61,2.7,48,9,15,15,4,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",7,0.0,16,2.3,0,1,0.0,0,0,0.0,1,2,0.5,1,0.1,0,1,1,0.1,4,0,0,0,0,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,45,71,116,5.0,0,0,10,0,0,
,Total,23,,4625,201.1,465,1322,0.352,131,506,0.259,335,485,0.691,1396,60.7,252,556,808,35.1,475,225,406,164,44,
,Opponents,23,,4625,201.1,604,1392,0.434,95,369,0.257,406,577,0.704,1709,74.3,327,686,1013,44.0,440,321,375,181,60,
