#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
23,"Boldt, Anne 23 Boldt, Anne",18,18.0,501,27.8,76,222,0.342,32,106,0.302,90,106,0.849,274,15.2,19,46,65,3.6,52,16,0.9,46,31,7,View Bio
13,"Hirsh, Alissa 13 Hirsh, Alissa",12,12.0,369,30.8,65,162,0.401,5,21,0.238,40,60,0.667,175,14.6,12,38,50,4.2,21,44,3.7,30,16,1,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",18,8.0,433,24.1,44,118,0.373,10,40,0.25,26,40,0.65,124,6.9,9,24,33,1.8,40,27,1.5,45,11,1,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",18,13.0,320,17.8,35,142,0.246,20,95,0.211,16,27,0.593,106,5.9,5,44,49,2.7,35,15,0.8,35,13,6,View Bio
24,"Plemmons, Alex 24 Plemmons, Alex",18,18.0,312,17.3,30,48,0.625,0,0,0.0,15,25,0.6,75,4.2,24,41,65,3.6,41,4,0.2,14,5,11,View Bio
15,"Jaeger, Abby 15 Jaeger, Abby",18,16.0,413,22.9,19,70,0.271,4,11,0.364,25,37,0.676,67,3.7,11,38,49,2.7,28,27,1.5,33,21,0,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",16,0.0,237,14.8,24,52,0.462,0,1,0.0,11,20,0.55,59,3.7,27,52,79,4.9,26,1,0.1,13,6,1,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",18,5.0,313,17.4,18,61,0.295,6,30,0.2,6,11,0.545,48,2.7,14,22,36,2.0,37,15,0.8,28,7,0,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",17,0.0,154,9.1,17,41,0.415,8,24,0.333,3,10,0.3,45,2.6,4,16,20,1.2,21,8,0.5,18,4,2,View Bio
22,"Greenberg, Leah 22 Greenberg, Leah",17,0.0,94,5.5,10,39,0.256,10,36,0.278,2,3,0.667,32,1.9,4,2,6,0.4,9,5,0.3,8,1,1,View Bio
14,"Keller, Ariel 14 Keller, Ariel",18,0.0,185,10.3,7,18,0.389,0,2,0.0,5,12,0.417,19,1.1,11,27,38,2.1,34,7,0.4,11,9,3,View Bio
12,"Lopez, Haley 12 Lopez, Haley",15,0.0,127,8.5,6,24,0.25,5,15,0.333,8,8,1.0,25,1.7,5,14,19,1.3,15,3,0.2,7,3,2,View Bio
32,"Matosky, Jordan 32 Matosky, Jordan",17,0.0,126,7.4,11,30,0.367,0,3,0.0,6,16,0.375,28,1.6,13,15,28,1.6,10,4,0.2,16,7,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",7,0.0,16,2.3,0,1,0.0,0,0,0.0,1,2,0.5,1,0.1,0,1,1,0.1,4,0,0.0,0,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,29,54,83,4.6,0,0,0.0,9,0,0,
,Total,18,,3600,200.0,362,1028,0.352,100,384,0.26,254,377,0.674,1078,59.89,187,434,621,34.5,373,176,9.8,313,134,35,
,Opponents,18,,3600,200.0,481,1106,0.435,75,292,0.257,312,447,0.698,1349,74.94,264,546,810,45.0,343,255,14.2,290,132,48,
