Statistic,High,Opponent
POINTS,99,Knox College (01/08/14)
FIELD GOALS MADE,37,Knox College (01/08/14)
FIELD GOAL ATTEMPTS,74,Illinois College (11/23/13)
3 PT FIELD GOALS MADE,11,St. Norbert College (12/07/13)
3 PT FG ATTEMPTS,34,St. Norbert College (12/07/13)
FREE THROWS MADE,25,Knox College (02/05/14)
FREE THROW ATTEMPTS,34,Beloit College (11/30/13)
REBOUNDS,46,Knox College (01/08/14); Caltech (12/30/13)
ASSISTS,18,Knox College (01/08/14)
STEALS,15,Beloit College (11/30/13)
BLOCKED SHOTS,5,Carroll University (01/11/14)
TURNOVERS,31,Knox College (01/08/14); Knox College (02/05/14)
FOULS,31,Knox College (01/08/14)
