Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 6, 1988 (Tuesday)",,Home,Simpson,"Grinnell, IA",,,"L,0-3(5-15, 7-15, 2-15)",
"September 10, 1988 (Saturday)",,Neutral,St. Mary'of Omaha,"Sioux Center, IA",,,"L,0-2(5-15, 5-15)",
"September 10, 1988 (Saturday)",,Neutral,Northwestern (IA),"Sioux Center, IA",,,"L,0-2(4-15, 6-15)",
"September 10, 1988 (Saturday)",,Neutral,Wayne State College,"Sioux Center, IA",,,"L,0-2(2-15, 7-15)",
"September 15, 1988 (Thursday)",,Home,Wartburg,"Grinnell, IA",,,"L,0-3(9-15, 4-15, 3-15)",
"September 17, 1988 (Saturday)",,Away,Knox,"Galesburg, IL",,,"L,0-3(8-15, 5-15, 4-15)",
"September 17, 1988 (Saturday)",,Neutral,Carl Sandburg,"Galesburg, IL",,,"W,2-0(15-8, 15-8)",
"September 17, 1988 (Saturday)",,Neutral,Aurora,"Galesburg, IL",,,"L,0-2(7-15, 6-15)",
"September 23, 1988 (Friday)",,Home,Illinois College,"Grinnell, IA",,,"L,1-3(5-15, 8-15, 15-5, 14-16)",
"September 24, 1988 (Saturday)",,Home,Marycrest,"Grinnell, IA",,,"L,1-2(5-15, 15-9, 13-15)",
"September 24, 1988 (Saturday)",,Home,William Penn,"Grinnell, IA",,,"L,0-2(7-15, 14-16)",
"September 27, 1988 (Tuesday)",,Away,Coe,"Cedar Rapids, IA",,,"L,1-3(9-15, 5-15, 15-5, 7-15)",
"October 1, 1988 (Saturday)",,Home,Mount Mercy,"Grinnell, IA",,,"L,1-2(10-15, 15-9, 3-15)",
"October 1, 1988 (Saturday)",,Home,Grand View,"Grinnell, IA",,,"L,0-2(0-15, 7-15)",
"October 5, 1988 (Wednesday)",,Away,Cornell,"Mount Vernon, IA",,,"L,1-3(3-15, 3-15, 15-8, 1-15)",
"October 8, 1988 (Saturday)",,Home,Monmouth,"Grinnell, IA",,,"L,0-3(8-15, 3-15, 3-15)",
"October 8, 1988 (Saturday)",,Home,Upper Iowa,"Grinnell, IA",,,"W,2-0(15-13, 15-3)",
"October 18, 1988 (Tuesday)",,Away,Mount Mercy,"Cedar Rapids, IA",,,"L,0-3(2-15, 11-15, 12-15)",
"October 21, 1988 (Friday)",,Away,Viterbo,"La Crosse, WI",,,"L,0-3(2-15, 3-15, 5-15)",
"October 22, 1988 (Saturday)",,Neutral,Bethel,"Northfield, MN",,,"L,1-2(9-15, 15-10, 8-15)",
"October 22, 1988 (Saturday)",,Away,Carleton,"Northfield, MN",,,"L,1-2(15-12, 3-15, 8-15)",
"October 22, 1988 (Saturday)",,Away,St. Olaf,"Northfield, MN",,,"L,0-2(4-15, 4-15)",
"October 28, 1988 (Friday)",,Away,Upper Iowa,"Fayette, IA",,,"L,1-3(6-15, 16-14, 4-15, 7-15)",
"October 29, 1988 (Saturday)",,Away,Beloit,"Beloit, WI",,,"L,0-2(6-15, 1-15)",
"October 29, 1988 (Saturday)",,Neutral,Lake Forest,"Beloit, WI",,,"L,0-2(4-15, 1-15)",
"October 29, 1988 (Saturday)",,Neutral,Rockford,"Beloit, WI",,,"L,0-2(5-15, 9-15)",
"November 4, 1988 (Friday)",,Neutral,Illinois College (MWC Tournament),"Ripon, WI",,,"W,2-0(15-3, 15-5)",
"November 4, 1988 (Friday)",,Neutral,Coe (MWC Tournament),"Ripon, WI",,,"L,0-2(11-15, 11-15)",
"November 5, 1988 (Saturday)",,Neutral,Beloit (MWC Tournament),"Ripon, WI",,,"L,0-2(11-15, 9-15)",
"November 5, 1988 (Saturday)",,Away,Ripon (MWC Tournament),"Ripon, WI",,,"L,0-2(10-15, 6-15)",
