Player,Longest,Current
"Schaeffer, Matt",15,5
"Bell, Walker",14,10
"Davis, Drew",13,12
"Inafuku, Kainoa",12,7
"Penaflor, Ryan",12,-
"Renfro, Adam",11,11
"Mack, Anthony",10,-
"Zarcone, Phillip",8,-
"Blumenreich, Matt",6,3
"Kawahara, Yuki",5,5
"Beecher, Jacob",3,-
"Freese, Eli",3,-
"Klar, Coby",2,-
11,1,-
15,1,1
"Nelson, Karl",1,-
"Tremblay, Colin",1,1
"Godinsky, Matt",1,-
"Markey, Jackson",1,1
