Statistic,High,Opponent
INNINGS PITCHED,10.1,Coe College (4/28/2013)
RUNS ALLOWED,16.0,Univ. of Chicago (3/24/2013)
EARNED RUNS,12.0,Univ. of Chicago (3/24/2013); Benedictine Univ. (3/17/2013)
WALKS ALLOWED,9.0,Concordia (Wis.) (3/21/2013)
STRIKEOUTS,12.0,Cornell College (4/20/2013)
HITS ALLOWED,18.0,Benedictine Univ. (3/17/2013)
DOUBLES ALLOWED,6.0,Anderson (3/18/2013); Monmouth College (4/27/2013)
TRIPLES ALLOWED,2.0,UW-Whitewater (3/22/2013)
HOME RUNS ALLOWED,3.0,Univ. of Chicago (3/24/2013)
WILD PITCHES,3.0,Cornell College (4/20/2013); Benedictine Univ. (3/17/2013)
HIT BATTERS,5.0,Univ. of Chicago (3/24/2013)
