Statistic,High,Opponent
AT BATS,44,Knox College (4/4/2013)
RUNS SCORED,16,Washington U. (3/30/2013)
HITS,19,Knox College (4/4/2013)
RBIS,13,Cornell College (4/21/2013)
DOUBLES,5,Cornell College (4/21/2013)
TRIPLES,1,Univ. of Chicago (3/24/2013); Amherst (3/23/2013); Knox College (4/4/2013)
HOME RUNS,2,Illinois College (4/13/2013); Monmouth College (4/27/2013)
WALKS,10,Concordia (Wis.) (3/21/2013); Washington U. (3/30/2013)
STRIKEOUTS,12,St. Norbert (3/30/2013)
SAC HITS,4,Cornell College (4/21/2013)
SAC FLIES,2,Cornell College (4/20/2013); Illinois College (4/14/2013); Monmouth College (4/27/2013)
STOLEN BASES,6,Knox College (5/10/2013)
HIT BY PITCH,4,Knox College (4/6/2013); Amherst (3/23/2013)
CAUGHT STEALING,3,Monmouth College (4/25/2013)
HIT INTO DP,4,Illinois College (4/14/2013)
