#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
31.0,"Ormond, Jason 31Ormond, Jason",2.35,1.2,4-3,11-5,1,1-0,0,46.0,46,21,12,9,27,12,0,2,186,0.247,2,1,0,0,4,View Bio
39.0,"Essig, John 39Essig, John",3.32,1.41,1-4,10-7,0,0-0,0,43.1,53,34,16,8,29,11,0,4,182,0.291,0,4,1,1,5,View Bio
23.0,"Pahos, Will 23Pahos, Will",4.26,1.54,3-5,10-9,1,0-0,1,50.2,68,39,24,10,32,14,1,2,222,0.306,2,3,1,1,4,View Bio
38.0,"Tinkham, Sam 38Tinkham, Sam",4.54,1.57,1-3,8-7,0,0-0,0,37.2,45,27,19,14,26,14,1,0,148,0.304,3,2,1,1,1,View Bio
27.0,"Kelley, Andrew 27Kelley, Andrew",5.05,1.51,1-4,16-2,1,0-0,3,35.2,48,27,20,6,38,11,1,1,153,0.314,5,7,0,2,3,View Bio
19.0,"Jacobson, Max 19Jacobson, Max",0.0,1.0,0-0,1-0,0,0-0,0,2.0,0,2,0,2,1,0,0,0,7,0.0,2,0,0,0,0,View Bio
21.0,"Platt, Andrew 21Platt, Andrew",2.25,1.2,1-1,13-0,0,0-0,0,20.0,16,9,5,8,21,3,1,0,74,0.216,5,3,1,2,1,View Bio
9.0,"Sales, Ian 9Sales, Ian",2.25,1.75,0-0,6-0,0,0-0,0,8.0,12,4,2,2,3,1,0,1,35,0.343,2,2,1,0,0,View Bio
42.0,"Fisher, Graham 42Fisher, Graham",3.72,1.5,2-0,8-3,0,0-0,0,19.1,19,13,8,10,9,6,0,1,79,0.241,2,3,1,0,1,View Bio
26.0,"Godinsky, Matt 26Godinsky, Matt",4.5,2.0,0-0,5-0,0,0-0,0,4.0,4,5,2,4,4,1,0,0,19,0.211,0,1,0,0,0,View Bio
34.0,"Eckberg, Chris 34Eckberg, Chris",5.73,1.64,0-0,11-0,0,0-0,0,11.0,16,7,7,2,6,4,1,0,42,0.381,1,3,0,1,2,View Bio
29.0,"Brown, Ryan 29Brown, Ryan",9.0,2.0,0-0,1-0,0,0-0,0,1.0,1,1,1,1,2,0,0,0,4,0.25,0,0,0,0,0,View Bio
4.0,"Annerino, Michael 4Annerino, Michael",22.09,2.73,0-1,2-1,0,0-0,0,3.2,7,9,9,3,2,1,1,2,15,0.467,0,2,0,1,0,View Bio
32.0,"Bennett, Will 32Bennett, Will",99.0,0.0,0-0,1-0,0,0-0,0,0.0,0,2,2,2,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,4.05,1.47,13-21,103-34,3,1,4,282.1,335,200,127,81,200,78,6,13,1166,0.287,24,31,6,9,21,
,Opponents,4.25,1.51,21-13,95-34,5,2,6,288.0,298,181,136,138,193,51,3,7,1094,0.272,35,43,5,12,44,
