Statistic,High,Opponent
PUTOUTS,31,Coe College (4/28/2013)
ASSISTS,20,Washington U. (3/29/2013)
ERRORS,6,Monmouth College (4/25/2013)
PASSED BALLS,1,Anderson (3/18/2013); Cornell College (4/20/2013); Washington U. (3/29/2013); Washington U. (3/29/2013); Knox College (4/4/2013)
DPS TURNED,3,Knox College (4/6/2013)
