Statistic,High,Player,Opponent
AT BATS,6,Davis; Kainoa Inafuku,Washington U. (3/30/2013); Knox College (4/4/2013); Coe College (4/28/2013)
RUNS SCORED,4,Inafuku,Knox College (4/4/2013)
HITS,6,Bell,Knox College (4/4/2013)
RBIS,5,Walker Bell,Illinois College (4/13/2013); Cornell College (4/21/2013)
DOUBLES,3,Bell,Knox College (4/4/2013)
TRIPLES,1,Drew Davis; Phillip Zarcone; Beecher,Univ. of Chicago (3/24/2013); Amherst (3/23/2013); Knox College (4/4/2013)
HOME RUNS,1,Walker Bell; Phillip Zarcone; Drew Davis,Illinois College (4/13/2013); Monmouth College (4/25/2013); Univ. of Chicago (3/24/2013); Cornell College (4/21/2013); Monmouth College (4/27/2013)
WALKS,3,Matt Blumenreich; Drew Davis; Blumenreich; Schaeffer,Anderson (3/18/2013); Concordia (Wis.) (3/21/2013); Washington U. (3/30/2013); Knox College (4/4/2013)
STRIKEOUTS,3,Coby Klar; Walker Bell; Tremblay; Anthony Mack; Matt Godinsky,Anderson (3/18/2013); Concordia (Wis.) (3/21/2013); St. Norbert (3/30/2013); Monmouth College (4/25/2013); Benedictine Univ. (3/17/2013)
SAC HITS,3,Ryan Penaflor,Coe College (4/28/2013)
SAC FLIES,1,Walker Bell; Drew Davis; Kainoa Inafuku; Davis,Anderson (3/18/2013); Knox College (4/6/2013); Illinois College (4/13/2013); Cornell College (4/20/2013); Knox College (4/4/2013)
STOLEN BASES,3,Yuki Kawahara,Knox College (5/10/2013)
HIT BY PITCH,2,Matt Schaeffer; Matt Blumenreich,Knox College (4/6/2013); Amherst (3/23/2013)
CAUGHT STEALING,2,Zarcone,Washington U. (3/30/2013)
HIT INTO DP,2,Walker Bell,Illinois College (4/14/2013)
