Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Will Pahos,Illinois College (4/13/2013)
RUNS ALLOWED,9.0,Will Pahos,Benedictine Univ. (3/17/2013)
EARNED RUNS,8.0,Will Pahos,Benedictine Univ. (3/17/2013)
WALKS ALLOWED,5.0,Graham Fisher,Concordia (Wis.) (3/21/2013)
STRIKEOUTS,9.0,John Essig,Cornell College (4/20/2013)
HITS ALLOWED,13.0,Andrew Kelley,Hope College (3/19/2013)
DOUBLES ALLOWED,4.0,Will Pahos; Jason Ormond; Sam Tinkham,UW-Whitewater (3/22/2013); Monmouth College (4/25/2013); Monmouth College (4/27/2013); Monmouth College (4/27/2013)
TRIPLES ALLOWED,1.0,Michael Annerino; Will Pahos; Chris Eckberg; Sam Tinkham; A. Platt,Hope College (3/19/2013); UW-Whitewater (3/22/2013); Benedictine Univ. (3/17/2013); Amherst (3/23/2013); Knox College (4/4/2013)
HOME RUNS ALLOWED,1.0,Michael Annerino; Graham Fisher; Jason Ormond; John Essig; Will Pahos,Hope College (3/19/2013); Univ. of Chicago (3/24/2013); Knox College (4/6/2013); Illinois College (4/13/2013); Illinois College (4/13/2013)
WILD PITCHES,2.0,Will Pahos; Andrew Platt; Andrew Kelley; Max Jacobson,UW-Whitewater (3/22/2013); Cornell College (4/20/2013); Benedictine Univ. (3/17/2013); Hope College (3/19/2013); Coe College (4/28/2013)
HIT BATTERS,2.0,Andrew Kelley; John Essig; Pahos,Univ. of Chicago (3/24/2013); Illinois College (4/13/2013); Knox College (4/4/2013)
