Player,2,3,4,5+,Total
"Inafuku, Kainoa",6,5,1,-,12
"Bell, Walker",7,3,-,1,11
"Mack, Anthony",5,3,1,-,9
"Davis, Drew",5,2,1,-,8
"Penaflor, Ryan",8,-,-,-,8
"Blumenreich, Matt",4,3,-,-,7
"Zarcone, Phillip",4,3,-,-,7
"Kawahara, Yuki",1,2,-,-,3
"Schaeffer, Matt",2,-,-,-,2
"Renfro, Adam",-,2,-,-,2
15,1,-,-,-,1
"Beecher, Jacob",-,1,-,-,1
"Klar, Coby",1,-,-,-,1
"Freese, Eli",1,-,-,-,1
TEAM,45,24,3,1,73
