#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
12.0,"Inafuku, Kainoa 12 Inafuku, Kainoa",0.336,0.765,32-31,122,24,41,4,0,0,19,45,0.369,11,3,10,0,0.396,3,5,6-8,View Bio
5.0,"Bell, Walker 5 Bell, Walker",0.331,0.882,34-33,124,19,41,10,0,2,35,57,0.46,15,6,16,4,0.422,2,2,3-4,View Bio
13.0,"Mack, Anthony 13 Mack, Anthony",0.303,0.752,34-34,119,21,36,7,0,0,18,43,0.361,13,5,19,1,0.391,1,7,5-8,View Bio
6.0,"Davis, Drew 6 Davis, Drew",0.285,0.799,33-32,123,28,35,8,1,2,12,51,0.415,15,6,23,1,0.384,2,3,12-13,View Bio
10.0,"Zarcone, Phillip 10 Zarcone, Phillip",0.277,0.767,28-26,94,21,26,5,1,2,12,39,0.415,10,1,16,4,0.352,0,6,4-6,View Bio
41.0,"Penaflor, Ryan 41 Penaflor, Ryan",0.27,0.658,30-28,100,12,27,4,0,0,8,31,0.31,7,5,21,0,0.348,0,6,4-5,View Bio
7.0,"Blumenreich, Matt 7 Blumenreich, Matt",0.241,0.605,34-34,116,13,28,1,0,0,17,29,0.25,17,4,15,4,0.355,1,4,2-3,View Bio
24.0,"Schaeffer, Matt 24 Schaeffer, Matt",0.207,0.637,33-33,87,9,18,2,0,0,10,20,0.23,25,5,13,0,0.407,1,6,1-1,View Bio
,15  15,0.667,1.75,1-1,3,1,2,1,0,0,1,3,1.0,1,0,0,0,0.75,0,0,1-1,
3.0,"Kawahara, Yuki 3 Kawahara, Yuki",0.317,0.746,25-12,41,10,13,0,0,0,3,13,0.317,3,5,9,0,0.429,0,2,10-10,View Bio
35.0,"Renfro, Adam 35 Renfro, Adam",0.259,0.764,17-16,54,7,14,4,0,1,6,21,0.389,10,0,12,1,0.375,0,1,1-2,View Bio
28.0,"Beecher, Jacob 28 Beecher, Jacob",0.206,0.642,13-9,34,5,7,3,1,0,4,12,0.353,4,0,6,0,0.289,0,0,0-0,View Bio
25.0,"Tremblay, Colin 25 Tremblay, Colin",0.182,0.523,6-3,11,1,2,1,0,0,1,3,0.273,0,1,6,0,0.25,0,0,0-0,View Bio
36.0,"Klar, Coby 36 Klar, Coby",0.182,0.432,5-3,11,3,2,0,0,0,1,2,0.182,0,1,6,0,0.25,0,1,0-0,View Bio
26.0,"Godinsky, Matt 26 Godinsky, Matt",0.143,0.414,9-3,14,1,2,1,0,0,0,3,0.214,1,0,6,0,0.2,0,0,0-0,View Bio
44.0,"Freese, Eli 44 Freese, Eli",0.125,0.325,9-5,16,0,2,0,0,0,2,2,0.125,2,0,3,0,0.2,2,0,0-0,View Bio
22.0,"Nelson, Karl 22 Nelson, Karl",0.125,0.542,14-1,8,1,1,0,0,0,1,1,0.125,3,1,2,0,0.417,0,0,0-0,View Bio
,11  11,0.111,0.222,5-1,9,1,1,0,0,0,2,1,0.111,0,0,5,1,0.111,0,0,0-0,
31.0,"Ormond, Jason 31 Ormond, Jason",0.0,0.0,11-6,3,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
40.0,"Weintraub, Isaac 40 Weintraub, Isaac",0.0,0.0,4-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
8.0,"Westre, Justin 8 Westre, Justin",0.0,0.0,3-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
2.0,"Sipala, Tyler 2 Sipala, Tyler",0.0,0.0,4-0,1,2,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
18.0,"Petritis, Steven 18 Petritis, Steven",0.0,0.0,8-0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
33.0,"Markey, Jackson 33 Markey, Jackson",0.0,1.0,4-0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,1,0-0,View Bio
,Totals,0.272,0.716,34-34,1094,181,298,51,3,7,152,376,0.344,138,43,193,16,0.372,12,44,49-61,
,Opponents,0.287,0.745,34-34,1166,200,335,78,6,13,172,464,0.398,81,31,200,18,0.347,9,21,42-51,
