#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
9.0,"Sales, Ian 9Sales, Ian",0.0,1.5,0-0,2-0,0,0-0,0,2.0,2,0,0,1,2,0,0,0,8,0.25,1,0,0,0,0,View Bio
27.0,"Kelley, Andrew 27Kelley, Andrew",1.0,1.0,1-1,7-0,0,0-0,1,18.0,15,4,2,3,22,5,0,0,70,0.214,1,1,0,1,1,View Bio
42.0,"Fisher, Graham 42Fisher, Graham",1.5,1.17,1-0,2-0,0,0-0,0,6.0,3,3,1,4,5,2,0,0,23,0.13,1,1,0,0,0,View Bio
31.0,"Ormond, Jason 31Ormond, Jason",1.63,1.07,2-2,4-4,1,1-0,0,27.2,27,9,5,2,18,7,0,1,108,0.25,0,1,0,0,3,View Bio
23.0,"Pahos, Will 23Pahos, Will",1.91,1.21,3-0,5-4,1,0-0,1,28.1,29,14,6,5,21,8,0,2,114,0.254,0,3,0,0,3,View Bio
21.0,"Platt, Andrew 21Platt, Andrew",2.0,1.0,0-0,5-0,0,0-0,0,9.0,8,5,2,1,10,1,1,0,33,0.242,2,1,0,2,0,View Bio
38.0,"Tinkham, Sam 38Tinkham, Sam",3.05,1.19,1-1,4-4,0,0-0,0,20.2,17,9,7,7,16,8,0,0,76,0.224,2,0,0,0,0,View Bio
39.0,"Essig, John 39Essig, John",4.19,1.52,0-4,4-4,0,0-0,0,19.1,26,21,9,3,17,7,0,3,86,0.302,0,3,0,0,3,View Bio
34.0,"Eckberg, Chris 34Eckberg, Chris",4.5,1.67,0-0,6-0,0,0-0,0,6.0,9,3,3,1,4,4,0,0,24,0.375,0,1,0,0,0,View Bio
26.0,"Godinsky, Matt 26Godinsky, Matt",18.0,3.0,0-0,2-0,0,0-0,0,1.0,1,3,2,2,0,1,0,0,5,0.2,0,0,0,0,0,View Bio
,Totals,2.41,1.2,8-8,41-16,2,1,2,138.0,137,71,37,29,115,43,1,6,547,0.25,7,11,0,3,10,
,Opponents,5.15,1.49,8-8,47-16,3,2,3,138.0,145,98,79,61,71,26,1,6,517,0.28,12,21,1,11,24,
