Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/17/2013,vs,Benedictine Univ.,L,4-13,31,4,6,4,3,0,0,4,0,1,1,2,1,0,0,11,24,11,1,0.194
3/18/2013,vs,Anderson,L,2-8,25,2,5,2,1,0,0,5,0,0,0,0,0,0,0,8,18,8,3,0.2
3/18/2013,vs,Anderson,L,2-3,21,2,3,2,2,0,0,8,0,3,0,0,2,1,0,10,21,14,1,0.143
3/19/2013,vs,Hope College,L,2-9,28,2,8,2,1,0,0,4,0,0,1,1,0,0,0,8,21,9,2,0.286
3/19/2013,vs,Hope College,L,2-7,26,2,8,2,0,0,0,2,0,1,0,1,1,0,1,5,18,10,2,0.308
3/21/2013,vs,Concordia (Wis.),W,9-3,32,9,9,6,1,0,0,10,0,2,0,1,2,0,1,10,27,14,3,0.281
3/22/2013,vs,UW-Whitewater,L,5-8,35,5,8,3,3,0,0,1,0,2,0,2,1,0,2,3,27,14,2,0.229
3/23/2013,vs,Amherst,W,8-4,35,8,12,7,4,1,0,4,1,3,1,4,0,0,0,2,27,13,2,0.343
3/24/2013,vs,Univ. of Chicago,W,4-3,27,4,8,3,2,0,1,4,0,0,0,0,0,0,1,4,21,8,1,0.296
3/24/2013,vs,Univ. of Chicago,L,3-16,28,3,8,3,2,1,0,2,0,0,0,1,0,0,2,3,21,4,2,0.286
3/29/2013,at,Washington U.,W,3-2,38,3,14,3,1,0,0,3,0,0,0,1,1,0,0,11,27,20,2,0.368
3/29/2013,at,Washington U.,L,2-4,34,2,8,1,1,0,0,4,0,0,0,1,1,0,0,4,24,11,4,0.235
3/30/2013,at,Washington U.,W,16-3,40,16,17,12,1,0,0,10,0,1,2,1,3,0,0,5,24,12,2,0.425
3/30/2013,vs,St. Norbert,L,2-8,32,2,8,2,2,0,0,0,0,0,0,1,2,0,0,12,27,10,4,0.25
4/4/2013,at,Knox College,L,5-7,30,5,8,5,3,0,0,2,0,1,2,2,2,0,0,5,24,10,5,0.267
4/4/2013,at,Knox College,W,14-8,44,14,19,12,3,1,0,7,0,3,0,2,1,1,0,7,27,12,3,0.432
4/6/2013,,Knox College,L,1-3,28,1,2,1,1,0,0,3,0,1,0,0,0,1,0,1,27,18,2,0.071
4/6/2013,,Knox College,L,3-7,28,3,2,2,1,0,0,3,0,2,1,4,0,0,0,6,27,16,3,0.071
4/13/2013,,Illinois College,L,0-5,29,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,27,14,2,0.069
4/13/2013,,Illinois College,W,8-2,33,8,14,8,2,0,2,2,0,3,0,1,3,1,1,5,27,7,3,0.424
4/14/2013,at,Illinois College,L,0-3,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,24,8,3,0.0
4/14/2013,at,Illinois College,W,10-4,34,10,15,8,1,0,0,4,0,4,0,2,3,2,3,3,27,12,2,0.441
4/20/2013,,Cornell College,W,2-1,26,2,6,2,0,0,0,3,0,0,0,0,3,0,1,2,27,14,0,0.231
4/20/2013,,Cornell College,L,3-5,34,3,8,3,0,0,0,6,0,3,0,1,0,2,1,3,27,11,2,0.235
4/21/2013,at,Cornell College,W,15-0,34,15,14,12,5,0,1,4,0,2,0,1,4,1,2,2,21,10,1,0.412
4/21/2013,at,Cornell College,W,14-1,33,14,17,13,4,0,0,8,0,2,0,0,2,1,0,2,21,7,0,0.515
4/25/2013,,Monmouth College,L,4-5,33,4,7,4,2,0,1,4,0,1,0,2,1,0,1,5,27,15,2,0.212
4/25/2013,,Monmouth College,L,4-13,34,4,11,4,0,0,0,5,0,1,3,1,1,0,0,4,27,15,6,0.324
4/27/2013,at,Monmouth College,W,7-2,35,7,10,6,3,0,2,3,0,2,0,2,2,0,0,4,27,15,0,0.286
4/27/2013,at,Monmouth College,W,8-5,34,8,10,7,1,0,0,5,0,1,0,3,2,2,0,6,27,16,2,0.294
4/28/2013,at,Coe College,L,7-8,41,7,8,4,0,0,0,6,0,0,0,1,3,0,0,3,31,16,4,0.195
5/1/2013,at,Augustana,L,2-9,34,2,8,2,0,0,0,4,0,4,1,2,0,0,0,8,24,11,3,0.235
5/10/2013,at,Ripon College,L,3-9,32,3,6,2,0,0,0,4,0,0,0,2,2,0,0,10,24,12,2,0.188
5/10/2013,vs,Knox College,L,7-12,38,7,9,5,1,0,0,2,0,6,0,1,1,0,0,5,27,10,4,0.237
Total,,,,181-200,1094,181,298,152,51,3,7,138,1,49,12,43,44,12,16,193,847,407,80,
