Player,2,3,4,5+,Total
"Bell, Walker",6,1,1,2,10
"Inafuku, Kainoa",5,1,-,-,6
"Blumenreich, Matt",3,1,-,-,4
"Mack, Anthony",3,1,-,-,4
"Davis, Drew",3,-,-,-,3
"Zarcone, Phillip",1,1,1,-,3
"Penaflor, Ryan",2,-,-,-,2
11,1,-,-,-,1
"Beecher, Jacob",1,-,-,-,1
"Renfro, Adam",1,-,-,-,1
TEAM,26,5,2,2,35
