Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2012,vs Coe College,0-0,0/0,0/0,14/5,7/2,4/3,0/0,0/0
9/5/2012,at Simpson,0-1,0/1,0/1,10/5,5/2,1/1,0/0,0/0
9/8/2012,at Augsburg College,0-4,0/4,0/4,7/20,2/11,1/2,0/0,0/0
9/9/2012,at Buena Vista Univ.,0-1,0/1,0/2,18/10,7/2,10/5,0/0,0/0
9/15/2012,at Lake Forest,0-1,0/1,0/1,7/12,5/6,2/3,0/0,0/0
9/16/2012,at Carroll University,1-0,1/0,0/0,4/11,2/5,1/5,1/2,0/0
9/20/2012,at Central College,1-2,1/2,1/2,4/11,3/7,4/5,0/0,0/0
9/22/2012,vs Illinois College,4-0,4/0,2/0,18/2,10/0,7/1,0/0,0/0
9/29/2012,vs Knox College,1-0,1/0,1/0,26/4,16/5,11/1,0/0,0/0
9/30/2012,vs Augustana College,1-6,1/6,1/1,8/17,4/14,2/0,0/0,0/0
10/3/2012,vs Cornell College,6-0,6/0,4/0,25/4,11/2,2/3,0/0,0/0
10/6/2012,at Beloit College,4-2,4/2,2/1,12/7,5/3,6/3,0/0,0/0
10/20/2012,vs Lawrence University,5-0,5/0,4/0,15/1,11/1,7/2,0/0,0/0
10/21/2012,vs St. Norbert College,3-4,3/4,1/0,21/17,17/13,3/3,0/2,0/0
10/27/2012,at Monmouth College,1-2,1/2,0/1,5/5,3/3,4/1,0/0,0/0
10/28/2012,vs Ripon College,3-0,3/0,1/0,22/11,13/6,4/1,0/0,0/0
11/2/2012,at Lake Forest,0-3,0/3,0/2,9/13,7/9,3/8,0/0,0/0
Totals,,,30/26,17/15,225/155,128/91,72/47,1/4,0/0
