Statistic,High,Opponent
POINTS,16,Cornell College (10/3/2012)
GOALS,6,Cornell College (10/3/2012)
ASSISTS,4,Cornell College (10/3/2012) Lawrence University (10/20/2012)
SHOTS,26,Knox College (9/29/2012)
SHOTS ON GOAL,17,St. Norbert College (10/21/2012)
SAVES,9,St. Norbert College (10/21/2012)
FOULS,10,Lake Forest (11/2/2012)
CORNER KICKS,11,Knox College (9/29/2012)
