Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2012,vs Coe College,T,0-0,(0-0-1),,139,
9/5/2012,at Simpson,L,0-1,(0-1-1),,101,
9/8/2012,at Augsburg College,L,0-4,(0-2-1),,149,
9/9/2012,at Buena Vista Univ.,L,0-1,(0-3-1),,100,
9/15/2012,at Lake Forest,L,0-1,"(0-4-1,0-1-0)",0-1-0,185,
9/16/2012,at Carroll University,W,1-0,"(1-3-0, 1-1-0 MWC)",1-1-0 MWC,89,Elle Silverman (1)
9/20/2012,at Central College,L,1-2,(1-5-1),,100,Sarah Jensen (1) (Dabney Hofammann)
9/22/2012,vs Illinois College,W,4-0,"(2-5-1, 2-1-0 MWC)",2-1-0 MWC,173,Dabney Hofammann (0) (Rachael Koester)  Nicole Sipfle (0) Patty Murphy-Geiss (0) (Abby Jaeger)  Dabney Hofammann (0)
9/29/2012,vs Knox College,W,1-0,"(3-5-1, 3-1-0 MWC)",3-1-0 MWC,274,Maddie Gray (0) (Kathryn Hardy)
9/30/2012,vs Augustana College,L,1-6,(3-6-1),,171,Maddie Gray (0) (Kathryn Vincent)
10/3/2012,vs Cornell College,W,6-0,"(4-6-1, 4-1-0 MWC)",4-1-0 MWC,97,"Patty Murphy-Geiss (2) (Kristen Stacey)  Pauline Zheng (1) (Maggie Mamantov)  Mackenzie Shanahan (1) Abby Jaeger (1) Kathryn Vincent (1) (Sarah Jensen , Eva Smith)  Patty Murphy-Geiss (3)"
10/6/2012,at Beloit College,W,4-2,"(5-6-1, 5-1-0 MWC)",5-1-0 MWC,50,Kathryn Vincent (0) Eva Smith (0) Andie Semlow (0) (Dabney Hofammann)  Kristen Stacey (0)
10/20/2012,vs Lawrence University,W,5-0,"(6-6-1, 6-1-0 MWC)",6-1-0 MWC,107,Pauline Zheng (2) (Mackenzie Shanahan)  Dabney Hofammann (3) (Julia Sauerhaft)  Kathryn Vincent (3) Sarah Jensen (2) (Patty Murphy-Geiss)  Rachel Weinstein (1) (Mackenzie Shanahan)
10/21/2012,vs St. Norbert College,L,3-4,"(6-7-1, 6-2-0 MWC)",6-2-0 MWC,207,Nicole Sipfle (2) (Andie Semlow)  Kathryn Vincent (4) Maddie Gray (3)
10/27/2012,at Monmouth College,L,1-2,"(6-8-1, 6-3-0)",6-3-0,75,Hannah Safter (1)
10/28/2012,vs Ripon College,W,3-0,"(7-8-1, 7-3-0 MWC)",7-3-0 MWC,273,Kathryn Vincent (5) Patty Murphy-Geiss (4) (Abby Jaeger)  Patty Murphy-Geiss (5)
11/2/2012,at Lake Forest,L,0-3,(7-9-1),,274,
