Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2012,Coe College,0-0,110:00,0,0.0,7,1.0,0,0,1,1,14
9/5/2012,Simpson,1-0,90:00,0,0.0,5,1.0,1,0,0,1,10
9/8/2012,Augsburg College,4-0,90:00,0,0.0,2,1.0,1,0,0,1,7
9/9/2012,Buena Vista Univ.,1-0,90:00,0,0.0,7,1.0,1,0,0,1,18
9/15/2012,Lake Forest,1-0,90:00,0,0.0,5,1.0,1,0,0,1,5
9/16/2012,Carroll University,0-1,90:00,1,0.16,1,0.5,0,1,0,0,0
9/20/2012,Central College,2-1,90:00,1,0.28,2,0.667,1,0,0,0,0
9/22/2012,Illinois College,0-4,90:00,4,0.73,6,0.6,0,1,0,0,18
9/29/2012,Knox College,0-1,90:00,1,0.76,15,0.938,0,1,0,0,26
9/30/2012,Augustana College,6-1,90:00,1,0.78,3,0.75,1,0,0,0,8
10/3/2012,Cornell College,0-6,90:00,6,1.25,5,0.455,0,1,0,0,24
10/6/2012,Beloit College,2-4,90:00,4,1.47,1,0.2,0,1,0,0,0
10/20/2012,Lawrence University,0-5,90:00,5,1.74,6,0.545,0,1,0,0,15
10/21/2012,St. Norbert College,4-3,90:00,3,1.83,14,0.824,1,0,0,0,20
10/27/2012,Monmouth College,2-1,90:00,1,1.77,2,0.667,1,0,0,0,3
10/28/2012,Ripon College,0-3,90:00,3,1.85,10,0.769,0,1,0,0,21
11/2/2012,Lake Forest,3-0,90:00,0,1.74,7,1.0,1,0,0,1,9
Totals,,-,1550,30,1.74,98,0.766,9,7,1,6,198
Grinnell College,,-,1550:00,26,1.51,65,0.714,7,9,1,6,118
