Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,30,26
Goals Per Game G/AVG,1.76,1.53
Shots SH,225,155
Shots Per Game SH/AVG,13.2,9.1
Shots Percentage SH%,0.133,0.168
Shots On Goal SOG,128-225,91-155
Shots On Goal Percentage SOG%,0.569,0.587
Penalties,Penalties,Penalties
Yellow Cards YC,1,4
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,17,15
Saves S,65,98
Fouls F,75,89
Corner Kicks CK,72,47
Penalty Kicks: Goals-Attempts PG-PA,2-3,1-1
