Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2012,Coe College,0-0,0,0,0,5,0.0,2,0.4,0-0,0,0-0,1209
9/5/2012,Simpson,1-0,1,1,3,5,0.2,2,0.4,0-0,1,0-0,983
9/8/2012,Augsburg College,4-0,4,4,12,20,0.2,11,0.55,0-0,1,0-0,991
9/9/2012,Buena Vista Univ.,1-0,1,2,4,10,0.1,2,0.2,0-0,1,0-0,963
9/15/2012,Lake Forest,1-0,1,1,3,12,0.083,6,0.5,0-0,1,0-0,990
9/16/2012,Carroll University,0-1,0,0,0,11,0.0,5,0.455,2-0,0,0-0,989
9/20/2012,Central College,2-1,2,2,6,11,0.182,7,0.636,0-0,1,0-0,968
9/22/2012,Illinois College,0-4,0,0,0,2,0.0,0,0.0,0-0,0,0-0,949
9/29/2012,Knox College,0-1,0,0,0,4,0.0,5,1.25,0-0,0,0-0,994
9/30/2012,Augustana College,6-1,6,1,13,17,0.353,14,0.824,0-0,1,0-0,999
10/3/2012,Cornell College,0-6,0,0,0,4,0.0,2,0.5,0-0,0,0-0,983
10/6/2012,Beloit College,2-4,2,1,5,7,0.286,3,0.429,0-0,0,0-0,0
10/20/2012,Lawrence University,0-5,0,0,0,1,0.0,1,1.0,0-0,0,0-0,972
10/21/2012,St. Norbert College,4-3,4,0,8,17,0.235,13,0.765,2-0,1,1-1,933
10/27/2012,Monmouth College,2-1,2,1,5,5,0.4,3,0.6,0-0,1,0-0,0
10/28/2012,Ripon College,0-3,0,0,0,11,0.0,6,0.545,0-0,0,0-0,994
11/2/2012,Lake Forest,3-0,3,2,8,13,0.231,9,0.692,0-0,1,0-0,990
Total,,26-30,26,15,67,155,0.168,91,0.587,4-0,9,1-1,14907
Grinnell College,,-,30,17,77,225,0.133,128,0.569,1-0,7,-,14931
