#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
30.0,"Manley, Devon 30Manley, Devon",1,0,05:31,0,0.0,1,1.0,0.0,0.0,0.0,0/1,1,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",17,2,869:29,13,1.35,36,0.735,2.0,3.0,1.0,1/5,63,View Bio
0.0,"Young, Jordan 0Young, Jordan",15,15,675:00,13,1.73,28,0.683,5.0,6.0,0.0,0/5,54,View Bio
,Total,17,-,1550:00,26,1.51,65,0.714,7.0,9.0,1.0,6,118,
,Opponents,17,-,1550:00,30,1.74,98,0.766,,,,5,198,
