0,1,2
POINTS,13,Augustana College (9/30/2012)
GOALS,6,Augustana College (9/30/2012)
ASSISTS,4,Augsburg College (9/8/2012)
SHOTS,20,Augsburg College (9/8/2012)
SHOTS ON GOAL,14,Augustana College (9/30/2012)
SAVES,15,Knox College (9/29/2012)
FOULS,11,Coe College (9/1/2012) St. Norbert College (10/21/2012)
CORNER KICKS,8,Lake Forest (11/2/2012)
