Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2012,Coe College,0-0,110:00,0,0.0,2,1.0,0,0,1,1,5
9/5/2012,Simpson,0-1,90:00,1,0.45,1,0.5,0,1,0,0,5
9/8/2012,Augsburg College,0-4,90:00,4,1.55,7,0.636,0,1,0,0,20
9/9/2012,Buena Vista Univ.,0-1,90:00,1,1.42,1,0.5,0,1,0,0,10
9/15/2012,Lake Forest,0-1,90:00,1,1.34,5,0.833,0,1,0,0,6
9/16/2012,Carroll University,1-0,90:00,0,1.13,5,1.0,1,0,0,1,0
9/20/2012,Central College,1-2,90:00,2,1.25,5,0.714,0,1,0,0,0
9/22/2012,Illinois College,4-0,90:00,0,1.09,0,0.0,1,0,0,1,2
9/29/2012,Knox College,1-0,90:00,0,0.98,5,1.0,1,0,0,1,5
9/30/2012,Augustana College,1-6,90:00,6,1.47,8,0.571,0,1,0,0,17
10/3/2012,Cornell College,6-0,90:00,0,1.34,2,1.0,1,0,0,1,4
10/6/2012,Beloit College,4-2,90:00,2,1.39,1,0.333,1,0,0,0,0
10/20/2012,Lawrence University,5-0,90:00,0,1.29,1,1.0,1,0,0,1,1
10/21/2012,St. Norbert College,3-4,90:00,4,1.48,9,0.692,0,1,0,0,16
10/27/2012,Monmouth College,1-2,90:00,2,1.51,1,0.333,0,1,0,0,3
10/28/2012,Ripon College,3-0,90:00,0,1.42,6,1.0,1,0,0,1,11
11/2/2012,Lake Forest,0-3,90:00,3,1.51,6,0.667,0,1,0,0,13
Totals,,-,1550,26,1.51,65,0.714,7,9,1,7,118
Opponent,,-,1550:00,30,1.74,98,0.766,9,7,1,5,198
