#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
30.0,"Manley, Devon 30Manley, Devon",1,0,05:31,0,0.0,1,1.0,0.0,0.0,0.0,0/1,1,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",10,2,534:29,8,1.35,23,0.742,2.0,3.0,0.0,1/4,33,View Bio
0.0,"Young, Jordan 0Young, Jordan",8,8,360:00,1,0.25,11,0.917,5.0,0.0,0.0,0/4,14,View Bio
,Total,10,-,900:00,9,0.9,35,0.795,7.0,3.0,0.0,5,48,
,Opponents,10,-,900:00,28,2.8,65,0.699,,,,0,132,
