Statistic,High,Player,Opponent
POINTS,4,Dabney Hofammann Patty Murphy-Geiss Patty Murphy-Geiss,Illinois College (9/22/2012) Cornell College (10/3/2012) Ripon College (10/28/2012)
GOALS,2,Dabney Hofammann Patty Murphy-Geiss Patty Murphy-Geiss,Illinois College (9/22/2012) Cornell College (10/3/2012) Ripon College (10/28/2012)
ASSISTS,2,Mackenzie Shanahan,Lawrence University (10/20/2012)
SHOTS,8,Kathryn Vincent,Knox College (9/29/2012)
SHOTS ON GOAL,5,Kathryn Vincent,Knox College (9/29/2012)
SAVES,9,Katy Oldach,St. Norbert College (10/21/2012)
