Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2012,vs Coe College,0-0,0,0,0,14,0.0,7,0.5,0-0,0,0-0,1211
9/5/2012,at Simpson,0-1,0,0,0,10,0.0,5,0.5,0-0,0,0-0,991
9/8/2012,at Augsburg College,0-4,0,0,0,7,0.0,2,0.286,0-0,0,0-0,990
9/9/2012,at Buena Vista Univ.,0-1,0,0,0,18,0.0,7,0.389,0-0,0,0-0,539
9/15/2012,at Lake Forest,0-1,0,0,0,7,0.0,5,0.714,0-0,0,0-0,1161
9/16/2012,at Carroll University,1-0,1,0,2,4,0.25,2,0.5,1-0,1,0-0,990
9/20/2012,at Central College,1-2,1,1,3,4,0.25,3,0.75,0-0,0,0-0,991
9/22/2012,vs Illinois College,4-0,4,2,10,18,0.222,10,0.556,0-0,1,0-0,991
9/29/2012,vs Knox College,1-0,1,1,3,26,0.038,16,0.615,0-0,1,0-0,1050
9/30/2012,vs Augustana College,1-6,1,1,3,8,0.125,4,0.5,0-0,0,0-0,1092
10/3/2012,vs Cornell College,6-0,6,4,16,25,0.24,11,0.44,0-0,1,0-1,969
10/6/2012,at Beloit College,4-2,4,2,10,12,0.333,5,0.417,0-0,1,0-0,0
10/20/2012,vs Lawrence University,5-0,5,4,14,15,0.333,11,0.733,0-0,1,0-0,981
10/21/2012,vs St. Norbert College,3-4,3,1,7,21,0.143,17,0.81,0-0,0,1-1,993
10/27/2012,at Monmouth College,1-2,1,0,2,5,0.2,3,0.6,0-0,0,0-0,0
10/28/2012,vs Ripon College,3-0,3,1,7,22,0.136,13,0.591,0-0,1,1-1,991
11/2/2012,at Lake Forest,0-3,0,0,0,9,0.0,7,0.778,0-0,0,0-0,991
Total,,30-26,30,17,77,225,0.133,128,0.569,1-0,7,2-3,14931
Opponent,,-,26,15,67,155,0.168,91,0.587,4-0,9,-,14907
