#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
3.0,"Murphy-Geiss, Patty 3Murphy-Geiss, Patty",17,16,776,5,1,11,29,0.172,14,0.483,0-0,1,0-1,View Bio
17.0,"Vincent, Kathryn 17Vincent, Kathryn",16,15,653,5,1,11,31,0.161,16,0.516,0-0,2,1-1,View Bio
25.0,"Hofammann, Dabney 25Hofammann, Dabney",15,0,444,3,2,8,13,0.231,8,0.615,1-0,1,0-0,View Bio
21.0,"Gray, Maddie 21Gray, Maddie",17,0,675,3,0,6,13,0.231,8,0.615,0-0,1,1-1,View Bio
12.0,"Jensen, Sarah 12Jensen, Sarah",17,6,559,2,1,5,7,0.286,5,0.714,0-0,0,0-0,View Bio
15.0,"Jaeger, Abby 15Jaeger, Abby",17,17,801,1,2,4,16,0.063,7,0.438,0-0,0,0-0,View Bio
24.0,"Semlow, Andie 24Semlow, Andie",17,0,532,1,2,4,9,0.111,4,0.444,0-0,0,0-0,View Bio
8.0,"Shanahan, MacKenzie 8Shanahan, MacKenzie",17,16,599,1,2,4,8,0.125,5,0.625,0-0,0,0-0,View Bio
16.0,"Sipfle, Nicole 16Sipfle, Nicole",17,16,987,2,0,4,15,0.133,11,0.733,0-0,0,0-0,View Bio
23.0,"Zheng, Pauline 23Zheng, Pauline",10,0,166,2,0,4,4,0.5,3,0.75,0-0,1,0-0,View Bio
2.0,"Smith, Eva 2Smith, Eva",17,7,717,1,1,3,17,0.059,9,0.529,0-0,0,0-0,View Bio
7.0,"Stacey, Kristen 7Stacey, Kristen",14,7,497,1,1,3,11,0.091,5,0.455,0-0,0,0-0,View Bio
19.0,"Safter, Hannah 19Safter, Hannah",15,4,479,1,0,2,5,0.2,3,0.6,0-0,0,0-0,View Bio
13.0,"Silverman, Elle 13Silverman, Elle",15,11,932,1,0,2,7,0.143,6,0.857,0-0,1,0-0,View Bio
5.0,"Weinstein, Rachel 5Weinstein, Rachel",5,3,162,1,0,2,3,0.333,3,1.0,0-0,0,0-0,View Bio
11.0,"Hardy, Kathryn 11Hardy, Kathryn",15,15,839,0,1,1,5,0.0,3,0.6,0-0,0,0-0,View Bio
9.0,"Koester, Rachael 9Koester, Rachael",15,5,351,0,1,1,11,0.0,8,0.727,0-0,0,0-0,View Bio
20.0,"Mamantov, Maggie 20Mamantov, Maggie",15,6,460,0,1,1,7,0.0,4,0.571,0-0,0,0-0,View Bio
18.0,"Sauerhaft, Julia 18Sauerhaft, Julia",15,0,271,0,1,1,2,0.0,2,1.0,0-0,0,0-0,View Bio
22.0,"Bresette-buccino, N 22Bresette-buccino, N",17,6,726,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
27.0,"Hodo, Amanda 27Hodo, Amanda",2,0,4,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
14.0,"Hubler, Brittany 14Hubler, Brittany",6,0,126,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
30.0,"Manley, Devon 30Manley, Devon",1,0,6,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Marek, Eden 6Marek, Eden",7,3,311,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Moore, Allison 26Moore, Allison",7,1,172,0,0,0,6,0.0,1,0.167,0-0,0,0-0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",17,2,799,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
5.0,"Pfeiffer, Izzie 5Pfeiffer, Izzie",1,0,3,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
10.0,"Sullivan, Morgan 10Sullivan, Morgan",16,12,721,0,0,0,3,0.0,3,1.0,0-0,0,0-0,View Bio
4.0,"Ulseth, Mary 4Ulseth, Mary",14,4,508,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Young, Jordan 0Young, Jordan",15,15,655,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,17,-,14931,30,17,77,225,0.133,128,0.569,1-0,7,2-3,
,Opponent,17,-,14907,26,15,67,155,0.168,91,0.587,4-0,9,1-1,
