Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Hardman, Ed",JR-3,11.32,16 Midwest Conference Championships,"May 13, 2016",1.0
,"Hardman, Ed",JR-3,11.44,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Hardman, Ed",JR-3,11.45,16 Midwest Conference Championships,"May 13, 2016",1.2
,"Hardman, Ed",JR-3,11.55,2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Hardman, Ed",JR-3,11.65,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.2
,"Ogasawara, Ibuki",JR-3,11.77,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.0
,"Hardman, Ed",JR-3,11.9,2016 Cornell Outdoor Invite,"Apr 9, 2016",2.0
,"Silvia, Colton",SO-2,11.92,2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Ogasawara, Ibuki",JR-3,11.97,Grinnell College Dick Young Classic,"Apr 23, 2016",1.7
,"Bolster, Henry",FR-1,12.12,Grinnell College Dick Young Classic,"Apr 23, 2016",1.7
,"Braun, Jonathan",JR-3,12.15,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.8
,"Ogasawara, Ibuki",JR-3,12.4,2016 Kip Janvrin Open,"Apr 28, 2016",0.3
,"Ogasawara, Ibuki",JR-3,12.71,2016 Jim Duncan Invitational,"Apr 15, 2016",-2.8
