Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Jensen, Joshua",SO-2,10:30.44,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Jensen, Joshua",SO-2,10:36.76,16 Midwest Conference Championships,"May 13, 2016"
,"Jensen, Joshua",SO-2,10:43.81,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Bass, Stewart",JR-3,10:46.74,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bass, Stewart",JR-3,10:57.10,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Mundell, Lex",SR-4,11:01.10,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Mundell, Lex",SR-4,11:03.59,16 Midwest Conference Championships,"May 13, 2016"
,"Healey, Aidan",SR-4,11:07.09,16 Midwest Conference Championships,"May 13, 2016"
,"Healey, Aidan",SR-4,11:11.29,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Healey, Aidan",SR-4,11:16.21,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Healey, Aidan",SR-4,11:20.54,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Mundell, Lex",SR-4,11:30.63,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Gleason, Keanan",JR-3,11:46.41,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
