Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Gustafson, Jack",FR-1,36.33m,"119' 2""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Gustafson, Jack",FR-1,35.39m,"116' 1""",2016 Kip Janvrin Open,"Apr 28, 2016"
,"Gustafson, Jack",FR-1,35.18m,"115' 5""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Page, James",FR-1,35.17m,"115' 5""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Page, James",FR-1,35.05m,"115' 0""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Page, James",FR-1,34.73m,"113' 11""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Davis, Ryan",SR-4,34.50m,"113' 2""",16 Midwest Conference Championships,"May 13, 2016"
,"Gustafson, Jack",FR-1,34.37m,"112' 9""",16 Midwest Conference Championships,"May 13, 2016"
,"Davis, Ryan",SR-4,33.99m,"111' 6""",16 Midwest Conference Championships,"May 13, 2016"
,"Page, James",FR-1,33.92m,"111' 3""",16 Midwest Conference Championships,"May 13, 2016"
,"Page, James",FR-1,33.82m,"110' 11""",16 Midwest Conference Championships,"May 13, 2016"
,"Davis, Ryan",SR-4,33.17m,"108' 10""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Page, James",FR-1,32.79m,"107' 7""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Davis, Ryan",SR-4,32.58m,"106' 11""",2016 Kip Janvrin Open,"Apr 28, 2016"
,"Davis, Ryan",SR-4,32.44m,"106' 5""",16 Midwest Conference Championships,"May 13, 2016"
,"Davis, Ryan",SR-4,32.41m,"106' 4""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Page, James",FR-1,32.35m,"106' 2""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Gustafson, Jack",FR-1,32.10m,"105' 4""",16 Midwest Conference Championships,"May 13, 2016"
,"Gustafson, Jack",FR-1,31.81m,"104' 4""",16 Midwest Conference Championships,"May 13, 2016"
,"Page, James",FR-1,31.42m,"103' 1""",16 Midwest Conference Championships,"May 13, 2016"
,"Gustafson, Jack",FR-1,30.86m,"101' 3""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Gustafson, Jack",FR-1,30.07m,"98' 8""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Page, James",FR-1,30.04m,"98' 7""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Davis, Ryan",SR-4,29.84m,"97' 11""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Page, James",FR-1,29.13m,"95' 7""",2016 Kip Janvrin Open,"Apr 28, 2016"
,"Davis, Ryan",SR-4,27.95m,"91' 8""",Grinnell College Dick Young Classic,"Apr 23, 2016"
