Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Cent. Christian (KS),11/08/24,78-50,28,28-70/18-61,.400/.295,5-24/6-18,.208/.333,17-26/8-11,.654-.727,50/40 10,13/6,11/20,4/1,9/7,14/18
St. Olaf,11/09/24,69-62,7,24-55/20-60,.436/.333,5-17/9-29,.294/.310,16-22/13-19,.727-.684,45/29 16,8/10,14/8,4/2,5/3,17/19
Central (IA),11/13/24,72-74,-2,24-65/27-70,.369/.386,10-28/8-27,.357/.296,14-17/12-14,.824-.857,44/38 6,14/16,19/16,3/7,8/9,16/13
Rockford,11/16/24,72-67,5,23-53/25-69,.434/.362,8-20/9-25,.400/.360,18-25/8-10,.720-.800,42/35 7,13/14,18/13,7/2,7/10,13/20
Neb. Wesleyan,11/20/24,73-49,24,22-55/18-53,.400/.340,7-22/3-11,.318/.273,22-24/10-13,.917-.769,41/29 12,12/4,19/22,6/1,10/8,11/16
Maranatha Baptist,11/22/24,106-35,71,43-74/14-61,.581/.230,10-24/1-17,.417/.059,10-14/6-8,.714-.750,54/27 27,26/6,15/24,2/0,10/4,13/16
Buena Vista,11/26/24,60-77,-17,21-51/28-65,.412/.431,6-23/12-26,.261/.462,12-22/9-14,.545-.643,39/34 5,15/23,26/16,4/2,6/15,16/23
Crown (MN),11/30/24,61-35,26,19-55/16-65,.345/.246,8-23/3-28,.348/.107,15-18/0-1,.833-.000,43/45 -2,12/10,11/17,5/1,7/4,9/18
Knox,12/03/24,67-65,2,23-66/22-81,.348/.272,4-25/7-27,.160/.259,17-25/14-19,.680-.737,64/44 20,13/11,24/9,11/0,4/11,20/23
Lawrence,12/07/24,48-54,-6,16-49/17-58,.327/.293,5-22/4-23,.227/.174,11-16/16-22,.688-.727,46/28 18,8/9,28/8,2/2,3/17,22/18
Cornell College,12/11/24,53-54,-1,17-57/21-59,.298/.356,7-27/8-27,.259/.296,12-17/4-5,.706-.800,45/36 9,13/9,18/15,5/3,7/11,8/18
Coe,12/13/24,61-80,-19,19-50/32-69,.380/.464,8-19/10-27,.421/.370,15-21/6-8,.714-.750,33/35 -2,9/15,13/6,4/2,4/10,8/18
Lake Forest,01/04/25,73-61,12,25-61/24-68,.410/.353,9-24/10-28,.375/.357,14-25/3-6,.560-.500,51/36 15,13/16,16/12,1/3,6/14,7/20
Ripon,01/08/25,71-58,13,24-57/22-62,.421/.355,8-15/4-13,.533/.308,15-23/10-13,.652-.769,39/39 0,11/6,11/15,8/8,10/6,12/19
Lawrence,01/11/25,53-54,-1,15-48/20-56,.313/.357,3-15/4-14,.200/.286,20-27/10-19,.741-.526,38/37 1,8/7,17/14,3/7,8/6,18/22
Beloit,01/14/25,70-40,30,23-56/16-59,.411/.271,9-24/7-32,.375/.219,15-20/1-2,.750-.500,51/28 23,14/8,14/12,5/1,9/5,13/20
