#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
25,"Strovers, Bailey 25 Strovers, Bailey",7,7.0,201,28.7,28,72,0.389,12,36,0.333,22,28,0.786,90,12.9,18,48,66,9.4,13,7,1.0,20,7,1,View Bio
34,"Booher, Sara 34 Booher, Sara",7,7.0,190,27.1,34,69,0.493,0,0,0.0,13,25,0.52,81,11.6,24,60,84,12.0,19,8,1.1,16,5,29,View Bio
10,"Ware, Nikki 10 Ware, Nikki",7,7.0,194,27.7,23,63,0.365,15,36,0.417,19,20,0.95,80,11.4,3,25,28,4.0,18,18,2.6,22,12,2,View Bio
15,"Pak, Cassidy 15 Pak, Cassidy",7,0.0,130,18.6,18,57,0.316,5,21,0.238,7,15,0.467,48,6.9,1,7,8,1.1,13,12,1.7,15,4,0,View Bio
33,"Perez, Adriana 33 Perez, Adriana",6,0.0,95,15.8,9,36,0.25,2,17,0.118,21,31,0.677,41,6.8,5,15,20,3.3,11,4,0.7,11,5,0,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",7,7.0,173,24.7,9,37,0.243,3,14,0.214,10,17,0.588,31,4.4,4,29,33,4.7,8,12,1.7,17,2,1,View Bio
32,"Ericksen, Kelsey 32 Ericksen, Kelsey",1,0.0,3,3.0,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0,0,2,2,2.0,0,0,0.0,1,0,0,View Bio
11,"Lynch, Nora 11 Lynch, Nora",6,0.0,101,16.8,7,18,0.389,4,13,0.308,2,4,0.5,20,3.3,5,15,20,3.3,3,6,1.0,3,2,0,View Bio
21,"Rigel, Amelia 21 Rigel, Amelia",5,0.0,31,6.2,5,14,0.357,0,3,0.0,6,6,1.0,16,3.2,2,1,3,0.6,4,1,0.2,5,1,1,View Bio
13,"Marsh, Grace 13 Marsh, Grace",7,7.0,145,20.7,4,12,0.333,1,7,0.143,0,1,0.0,9,1.3,4,17,21,3.0,5,10,1.4,7,3,1,View Bio
45,"Schwartzman, Juniper 45 Schwartzman, Juniper",7,0.0,81,11.6,2,5,0.4,0,0,0.0,4,6,0.667,8,1.1,1,10,11,1.6,3,0,0.0,3,1,0,View Bio
12,"Stephens, Reese 12 Stephens, Reese",7,0.0,50,7.1,3,8,0.375,2,4,0.5,0,0,0.0,8,1.1,3,3,6,0.9,2,2,0.3,4,5,0,View Bio
05,"Cordes, Eleanor 05 Cordes, Eleanor",1,0.0,3,3.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
20,"Roesler, Emily 20 Roesler, Emily",1,0.0,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0,View Bio
TM,Team  TM Team,7,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,15,17,32,4.6,0,0,0.0,4,0,0,
,Total,7,,1400,200.0,143,394,0.363,45,152,0.296,104,153,0.68,435,62.14,85,249,334,47.7,100,80,11.4,128,47,35,
,Opponents,7,,1400,200.0,142,443,0.321,44,164,0.268,58,86,0.674,386,55.14,62,186,248,35.4,140,66,9.4,85,70,24,
