Name,GP,Pts,Pts/G
"#25 Strovers, Bailey",16,196,12.3
"#10 Ware, Nikki",16,187,11.7
"#34 Booher, Sara",16,180,11.3
"#15 Pak, Cassidy",16,122,7.6
"#33 Perez, Adriana",14,108,7.7
"#22 Thomas, Skylar",16,72,4.5
"#11 Lynch, Nora",15,64,4.3
"#21 Rigel, Amelia",14,55,3.9
"#45 Schwartzman, Juniper",16,44,2.8
"#13 Marsh, Grace",16,18,1.1
"#14 Pierce, Carolyn",4,18,4.5
"#12 Stephens, Reese",12,15,1.3
"#32 Ericksen, Kelsey",1,3,3.0
"#24 Keller, Jenna",5,3,0.6
"#20 Roesler, Emily",7,2,0.3
