#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
25.0,"Strovers, Bailey 25 Strovers, Bailey",16,27.4,0.416,0.36,0.804,2.0,6.9,8.9,0.6,1.0,0.1,12.3
34.0,"Booher, Sara 34 Booher, Sara",16,24.4,0.547,0.0,0.622,3.0,7.9,10.9,1.5,0.8,3.6,11.3
10.0,"Ware, Nikki 10 Ware, Nikki",16,25.8,0.397,0.442,0.891,0.3,2.7,3.0,2.9,1.5,0.2,11.7
15.0,"Pak, Cassidy 15 Pak, Cassidy",16,17.9,0.353,0.233,0.651,0.1,1.0,1.1,1.5,0.4,0.0,7.6
33.0,"Perez, Adriana 33 Perez, Adriana",14,13.6,0.36,0.231,0.725,0.7,2.1,2.9,0.8,0.6,0.1,7.7
22.0,"Thomas, Skylar 22 Thomas, Skylar",16,23.3,0.259,0.241,0.618,0.4,2.7,3.1,1.9,0.6,0.3,4.5
14.0,"Pierce, Carolyn 14 Pierce, Carolyn",4,13.3,0.385,0.333,1.0,0.0,0.5,0.5,1.0,0.5,0.3,4.5
11.0,"Lynch, Nora 11 Lynch, Nora",15,17.5,0.44,0.31,0.786,1.0,2.0,3.0,0.8,0.3,0.0,4.3
32.0,"Ericksen, Kelsey 32 Ericksen, Kelsey",1,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
21.0,"Rigel, Amelia 21 Rigel, Amelia",14,7.4,0.36,0.182,0.789,0.2,0.7,0.9,0.4,0.6,0.1,3.9
45.0,"Schwartzman, Juniper 45 Schwartzman, Juniper",16,14.9,0.424,0.0,0.552,1.8,2.3,4.1,0.1,0.3,0.2,2.8
13.0,"Marsh, Grace 13 Marsh, Grace",16,20.3,0.292,0.267,0.0,0.4,1.6,1.9,1.4,0.4,0.1,1.1
12.0,"Stephens, Reese 12 Stephens, Reese",12,8.2,0.333,0.429,0.0,0.3,0.6,0.8,0.4,0.7,0.0,1.3
5.0,"Cordes, Eleanor 05 Cordes, Eleanor",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,"Keller, Jenna 24 Keller, Jenna",5,3.8,0.167,0.2,0.0,0.2,0.8,1.0,0.4,0.0,0.0,0.6
20.0,"Roesler, Emily 20 Roesler, Emily",7,4.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.3
,Total,16,201.6,0.397,0.318,0.711,11.9,33.4,45.3,12.6,7.1,4.6,67.94
,Opponents,16,201.6,0.335,0.282,0.707,9.8,25.2,35.0,10.6,8.8,2.6,57.19
