Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Cent. Christian (KS),11/08/24,78-50,W,28-70,0.4,5-24,0.208,17-26,0.654,19,31,50,50.0,14,13,11,4,9,78,78.0
vs St. Olaf,11/09/24,69-62,W,24-55,0.436,5-17,0.294,16-22,0.727,11,34,45,47.5,17,8,14,4,5,69,73.5
at Central (IA),11/13/24,72-74,L,24-65,0.369,10-28,0.357,14-17,0.824,15,29,44,46.3,16,14,19,3,8,72,73.0
at Rockford,11/16/24,72-67,W,23-53,0.434,8-20,0.4,18-25,0.72,8,34,42,45.3,13,13,18,7,7,72,72.8
vs Neb. Wesleyan,11/20/24,73-49,W,22-55,0.4,7-22,0.318,22-24,0.917,12,29,41,44.4,11,12,19,6,10,73,72.8
vs Maranatha Baptist,11/22/24,106-35,W,43-74,0.581,10-24,0.417,10-14,0.714,18,36,54,46.0,13,26,15,2,10,106,78.3
vs Buena Vista,11/26/24,60-77,L,21-51,0.412,6-23,0.261,12-22,0.545,10,29,39,45.0,16,15,26,4,6,60,75.7
vs Crown (MN),11/30/24,61-35,W,19-55,0.345,8-23,0.348,15-18,0.833,7,36,43,44.8,9,12,11,5,7,61,73.9
vs Knox,12/03/24,67-65,W,23-66,0.348,4-25,0.16,17-25,0.68,15,49,64,46.9,20,13,24,11,4,67,73.1
at Lawrence,12/07/24,48-54,L,16-49,0.327,5-22,0.227,11-16,0.688,10,36,46,46.8,22,8,28,2,3,48,70.6
at Cornell College,12/11/24,53-54,L,17-57,0.298,7-27,0.259,12-17,0.706,17,28,45,46.6,8,13,18,5,7,53,69.0
at Coe,12/13/24,61-80,L,19-50,0.38,8-19,0.421,15-21,0.714,6,27,33,45.5,8,9,13,4,4,61,68.3
at Lake Forest,01/04/25,73-61,W,25-61,0.41,9-24,0.375,14-25,0.56,11,40,51,45.9,7,13,16,1,6,73,68.7
vs Ripon,01/08/25,71-58,W,24-57,0.421,8-15,0.533,15-23,0.652,10,29,39,45.4,12,11,11,8,10,71,68.9
vs Lawrence,01/11/25,53-54,L,15-48,0.313,3-15,0.2,20-27,0.741,9,29,38,44.9,18,8,17,3,8,53,67.8
at Beloit,01/14/25,70-40,W,23-56,0.411,9-24,0.375,15-20,0.75,13,38,51,45.3,13,14,14,5,9,70,67.9
Grinnell,,-,,366-922,0.397,112-352,0.318,243-342,0.711,191,534,725,45.3,217,202,274,74,113,1087,67.9
Opponents,,-,,340-1016,0.335,105-372,0.282,130-184,0.707,157,403,560,35.0,301,170,227,42,140,915,57.2
