Name,GP,MIN,MIN/G
"#25 Strovers, Bailey",16,438,27.4
"#10 Ware, Nikki",16,413,25.8
"#34 Booher, Sara",16,390,24.4
"#22 Thomas, Skylar",16,373,23.3
"#13 Marsh, Grace",16,324,20.3
"#15 Pak, Cassidy",16,286,17.9
"#11 Lynch, Nora",15,263,17.5
"#45 Schwartzman, Juniper",16,239,14.9
"#33 Perez, Adriana",14,191,13.6
"#21 Rigel, Amelia",14,104,7.4
"#12 Stephens, Reese",12,98,8.2
"#14 Pierce, Carolyn",4,53,13.3
"#20 Roesler, Emily",7,28,4.0
"#24 Keller, Jenna",5,19,3.8
"#05 Cordes, Eleanor",1,3,3.0
"#32 Ericksen, Kelsey",1,3,3.0
