Name,GP,BLK,BLK/G
"#34 Booher, Sara",16,58,3.6
"#22 Thomas, Skylar",16,4,0.3
"#45 Schwartzman, Juniper",16,3,0.2
"#10 Ware, Nikki",16,3,0.2
"#13 Marsh, Grace",16,2,0.1
"#33 Perez, Adriana",14,1,0.1
"#14 Pierce, Carolyn",4,1,0.3
"#21 Rigel, Amelia",14,1,0.1
"#25 Strovers, Bailey",16,1,0.1
