Name,GP,AST,TO,AST/TO Ratio
"#11 Lynch, Nora",15,12,7,1.71
"#13 Marsh, Grace",16,22,17,1.29
"#14 Pierce, Carolyn",4,4,4,1.0
"#22 Thomas, Skylar",16,30,30,1.0
"#10 Ware, Nikki",16,47,46,1.02
